Indicator,Pillar,Sub-Pillar,Data Source,Filename,Data Link,Raw/Index,min,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the % change of government digitizing public services?,Government,Digital Public Services,World Bank: GovTech Dataset,Egov_strategy,https://datacatalog.worldbank.org,Index,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&D spending (% of GDP),Government,Funding and procurement,,,https://datacatalog.worldbank.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT investment as a percentage of GDP,Government,Funding and procurement,OECD: Going Digital Toolkit,ICT_Investment,https://data.oecd.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government procurement of advanced tech products,Government,Funding and procurement,World Bank: World Development Indicators,TCdata360,"https://tcdata360.worldbank.org/indicators/heb130a3c?country=BRA&indicator=547&viz=line_chart&years=2007,2017",Index,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donor Funding Levels,Government,Funding and procurement,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evidence of digital strategies in/across Ministries,Government,Funding and procurement,World Bank: GovTech Dataset,Egov_strategy,https://datacatalog.worldbank.org,Index,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evidence of focus on vulnerable groups,Government,Leadership and coordination,World Bank: GovTech Dataset,Egov_strategy,https://datacatalog.worldbank.org,Index,-0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evidence of agile approach (testing & learning),Government,Monitoring,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Policies for context-disaggregation (gender, age, race, etc) of data",Government,Monitoring,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of digital skills certifications / training courses completed,Government,Capabilities,Coursera: Global Skills Reports,digital_skill_level,https://www.coursera.org/skills-reports/global,Index,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of government encrypted web traffic,Government,Capabilities,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of country encrypted web traffic,Government,Capabilities,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data protection laws,Regulation,Data standards and protection,UNCTAD: Data Protection and Privacy Legislation Worldwide,data_protect_privacy_legislation,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Tables of Data Privacy Laws and Bills,Regulation,Data standards and protection,UNCTAD: Data Protection and Privacy Legislation Worldwide,data_protect_privacy_legislation,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Protection and Privacy Legislation Worldwide,Regulation,Data standards and protection,UNCTAD: Data Protection and Privacy Legislation Worldwide,data_protect_privacy_legislation,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repo of laws on,Regulation,Ethical Standards,FindLaw: Ethical Standards ,right_of_possession_basics,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Legality of cryptocurrency",Regulation,Cybersecurity,Gov UK: regulatory approach to cryptoassets and stablecoins,O-S_Stablecoins_consultation_response,None,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repo of laws on encryption,Regulation,Cybersecurity,Reposition of Regulations,Freedomhouse_countries_report,https://freedomhouse.org/report/freedom-net,Raw,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# key internet controls employed,Regulation,Cybersecurity,Freedom House: Freedom on the Net,number_key_internet_controls_employed,https://freedomhouse.org/report/freedom-net,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rule of Law Index,Regulation,Ethical Standards,World Justice Project: Rule of Law Index,rli,https://worldjusticeproject.org/our-work/research-and-data/wjp-rule-law-index-2020,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCTAD Business-to-Consumer (B2C) E-commerce Index,Business,Technology Adoption,UNCTAD:  Business-to-Consumer (B2C) E-commerce Index,b2c_ecommerse_idx,https://unctad.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Networking Services (Spend, IT Forecast Data)",Business,Technology Adoption,Portulans Institute: Network Readiness Index,network_readiness_index,https://networkreadinessindex.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT goods exports ,Business,Technology Adoption,UNCTAD: International trade in ICT goods,,https://unctadstat.unctad.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT goods imports ,Business,Technology Adoption,UNCTAD: International trade in ICT goods,,https://unctadstat.unctad.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT service exports ,Business,Technology Adoption,UNCTAD: International trade in ICT services,,https://unctadstat.unctad.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT service imports,Business,Technology Adoption,UNCTAD: International trade in ICT services,,https://unctadstat.unctad.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cloud Services (Spend, IT Forecast Data)",Business,Technology Adoption,Statista,cloud_services,https://www.statista.com,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT task-intensive jobs as a percentage of total employment,Business,Technology Adoption,OECD: Going Digital Toolkit,ICT_proportion,http://goingdigital.oecd.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of small businesses making e-commerce sales in the last 12 months,Business,Technology Adoption,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of retail businesses allowing eletronic payments,Business,Technology Adoption,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of business with internet,Business,Technology Adoption,OECD: ICT Access and Usage by Businesses,business_internet,https://stats.oecd.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of businesses with broadband,Business,Technology Adoption,OECD: Innovation Indicators,business_broadband,https://www.oecd.org/innovation/inno/inno-stats.htm,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of businesses with online presence,Business,Technology Adoption,Portulans Institute: Network Readiness Index,share_of_businesses_online_presence,https://networkreadinessindex.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size of gig economy (% of GDP),Business,Technology Adoption,Portulans Institute: Network Readiness Index,prevalance_gig_economy,https://networkreadinessindex.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size of digital economy (% of transactions),Business,Technology Adoption,Portulans Institute: Network Readiness Index,size_digital_economy,https://networkreadinessindex.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Capital Availability,Business,Financing Incentives,World Bank: World Development Indicators,TCdata360,"https://tcdata360.worldbank.org/indicators/heb130a3c?country=BRA&indicator=547&viz=line_chart&years=2007,2017",Index,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doing Business Index,Business,Startup Environment,World Bank: Doing Business,doing_bus_idx,https://datacatalog.worldbank.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of local tech companies publishing transparency reports,Business,Impact commitments,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical behavior of firms,Business,Impact commitments,World Bank: World Development Indicators,TCdata360,"https://tcdata360.worldbank.org/indicators/heb130a3c?country=BRA&indicator=547&viz=line_chart&years=2007,2017",Index,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength of legal rights index,Business,Startup Environment,World Bank: World Development Indicators,TCdata360,https://datacatalog.worldbank.org,Index,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time required to start a business (days),Business,Startup Environment,World Bank: World Development Indicators,TCdata360,https://datacatalog.worldbank.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ease of Doing Business,Business,Startup Environment,World Bank: Doing Business rankings,ease_doing_bus,https://datacatalog.worldbank.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time to Getting Internet in Office,Business,Startup Environment,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital business owner demographics,Business,Startup Environment,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ease of finding skilled employees,Business,Startup Environment,World Bank: GovData,ease_of_finding_skilled_employees,https://datacatalog.worldbank.org,Index,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amount invested into startups yearly from private, public, blended sources (respectively)",Business,Startup Environment,OECD: Venture capital investments ,start_up_investment,https://stats.oecd.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regulatory Quality,Business,Startup Environment,Global Innovation Index/World Bank: Regulatory Quality,global_innovation_dataset,https://www.globalinnovationindex.org/analysis-indicator,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ease of Getting Credit,Business,Startup Environment,Global Innovation Index/World Bank: Ease of Getting Credit,global_innovation_dataset,https://www.globalinnovationindex.org/analysis-indicator,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital Index (HCI),People,Digital Literacy Skills,UN: E-Government Survey ,e_government_index,https://publicadministration.un.org/egovkb,Index,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of population using internet (all),People,Digital Literacy Skills,ITU: Digital Development Dashboard,ITU_database,https://www.itu.int/itu-d/sites/statistics,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of population using internet (female),People,Digital Literacy Skills,ITU: Digital Development Dashboard,ITU_database,https://www.itu.int/itu-d/sites/statistics,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of population using internet (male),People,Digital Literacy Skills,ITU: Digital Development Dashboard,ITU_database,https://www.itu.int/itu-d/sites/statistics,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of internet users who own cryptocurrency,People,Digital Literacy Skills,Statista,cryptocurrency_adoption,https://www.statista.com,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Crypto Adoption Index,People,Usage and ownership,Chainanalysis: Global Crypto Adoption Index,Chainalysis_2021_Geography_Cryptocurrency_Report,https://go.chainalysis.com,Index,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDG 4.4 Digital literacy data,People,Digital Literacy Skills,UNESCO: Sustainable Development Goals,SDG_digital_literacy_data,http://data.uis.unesco.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDP Human Development Index (HDI) ,People,Culture,UNDP: Human Development Data Center,undp_human_developmnt,http://hdr.undp.org/en,Index,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Social Connectedness Index,People,Culture,Facebook: Social Connectedness Index,fb_social_connectedness,https://data.humdata.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of individuals using the Internet to interact with public authorities,People,Culture,OECD: Going Digital Toolkit,population_interacting_public_officials,http://goingdigital.oecd.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Level of satisfaction for online public services (% of users, by type of interaction and service)",People,Culture,Boston Consulting Group/Salesforce: The Global Trust Imperative,digital_public_service_use,https://www.salesforce.com,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of mobile apps available in national language(s),People,Culture,GSMA: Mobile Connectivity Index,apps_in_national_language,https://www.mobileconnectivityindex.com,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Addiction (time of use on internet / on devices),People,Digital Wellbeing,"Statista
",time_spent_online,https://www.statista.com,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross National Wellbeing,People,Digital Wellbeing,Portulans Institute: Network Readiness Index ,happiness_score,https://networkreadinessindex.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
individuals experiencing stress associated with frequent computer use,People,Digital Wellbeing,OECD: Going Digital Toolkit,individuals_experiencing_stress_computer_use,https://goingdigital.oecd.org/indicator/07,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workers experiencing job stress associated with frequent computer use at work,People,Digital Wellbeing,OECD: Going Digital Toolkit,workers_experiencing_job_stress_job_computer,https://goingdigital.oecd.org/indicator/07,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of individuals not buying online due to concerns about returning products,People,Digital Wellbeing,OECD: Going Digital Toolkit,not_buying_online_concern_about_returning,https://goingdigital.oecd.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of individuals not buying online due to payment security concerns,People,Digital Wellbeing,OECD: Going Digital Toolkit,not_buying_online_concern_about_security,https://goingdigital.oecd.org,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E-waste generated, kilograms per inhabitant",People,Digital Wellbeing,ITU: The Global E-Waste Statitics Partnership,ewaste_per_inhabitant,https://globalewaste.org,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automation-led unemployment,People,Digital Wellbeing,McKinsey Global Institute: International Automation ,automation_led_unemployment,https://www.mckinsey.com/mgi ,Index,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telework-life balance,People,Digital Wellbeing,OECD: Going Digital Toolkit,telework_life_balance,https://www.oecdbetterlifeindex.org/topics/work-life-balance/,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of language support,People,Digital Wellbeing,,,https://www.oecd.org/education/skills-beyond-school/41529765.pdf,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of accessibiltiy,People,Digital Wellbeing,,,,Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
