Code,Country,Region,Sub-region,Income,Pillar,Sub-pillar,2020
kyrgyzstan,Kyrgyzstan,Asia,Central Asia,Lower middle income,Business,Impact commitments,5.9
tajikistan,Tajikistan,Asia,Central Asia,Low income,Business,Impact commitments,5.2
turkmenistan,Turkmenistan,Asia,Central Asia,Upper middle income,Business,Impact commitments,4.6
uzbekistan,Uzbekistan,Asia,Central Asia,Lower middle income,Business,Impact commitments,3.6
china,China,Asia,Eastern Asia,Upper middle income,Business,Impact commitments,3.9
china,China,Asia,Eastern Asia,Upper middle income,Business,Impact commitments,2.9
china,China,Asia,Eastern Asia,Upper middle income,Business,Impact commitments,3.6
democratic-people's-republic-of-korea,Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Business,Impact commitments,4.2
japan,Japan,Asia,Eastern Asia,High income,Business,Impact commitments,5.8
mongolia,Mongolia,Asia,Eastern Asia,Lower middle income,Business,Impact commitments,2.6
republic-of-korea,Republic of Korea,Asia,Eastern Asia,High income,Business,Impact commitments,5.2
brunei-darussalam,Brunei Darussalam,Asia,South-eastern Asia,High income,Business,Impact commitments,1.2
cambodia,Cambodia,Asia,South-eastern Asia,Lower middle income,Business,Impact commitments,5.3
indonesia,Indonesia,Asia,South-eastern Asia,Upper middle income,Business,Impact commitments,1.4
lao-people's-democratic-republic,Lao People's Democratic Republic,Asia,South-eastern Asia,Lower middle income,Business,Impact commitments,4.6
malaysia,Malaysia,Asia,South-eastern Asia,Upper middle income,Business,Impact commitments,1.9
myanmar,Myanmar,Asia,South-eastern Asia,Lower middle income,Business,Impact commitments,3.6
philippines,Philippines,Asia,South-eastern Asia,Lower middle income,Business,Impact commitments,2.9
singapore,Singapore,Asia,South-eastern Asia,High income,Business,Impact commitments,3.7
thailand,Thailand,Asia,South-eastern Asia,Upper middle income,Business,Impact commitments,4.7
timor-leste,Timor-Leste,Asia,South-eastern Asia,Lower middle income,Business,Impact commitments,4
viet-nam,Viet Nam,Asia,South-eastern Asia,Lower middle income,Business,Impact commitments,5.7
afghanistan,Afghanistan,Asia,Southern Asia,Low income,Business,Impact commitments,3.3
bangladesh,Bangladesh,Asia,Southern Asia,Lower middle income,Business,Impact commitments,5
bhutan,Bhutan,Asia,Southern Asia,Lower middle income,Business,Impact commitments,3.7
india,India,Asia,Southern Asia,Lower middle income,Business,Impact commitments,1.3
iran-(islamic-republic-of),Iran (Islamic Republic of),Asia,Southern Asia,Upper middle income,Business,Impact commitments,4.5
maldives,Maldives,Asia,Southern Asia,Upper middle income,Business,Impact commitments,4.8
nepal,Nepal,Asia,Southern Asia,Lower middle income,Business,Impact commitments,2.3
pakistan,Pakistan,Asia,Southern Asia,Lower middle income,Business,Impact commitments,5.2
sri-lanka,Sri Lanka,Asia,Southern Asia,Lower middle income,Business,Impact commitments,3.6
armenia,Armenia,Asia,Western Asia,Upper middle income,Business,Impact commitments,6
azerbaijan,Azerbaijan,Asia,Western Asia,Upper middle income,Business,Impact commitments,4.2
bahrain,Bahrain,Asia,Western Asia,High income,Business,Impact commitments,1.7
cyprus,Cyprus,Asia,Western Asia,High income,Business,Impact commitments,4.3
georgia,Georgia,Asia,Western Asia,Upper middle income,Business,Impact commitments,2.6
iraq,Iraq,Asia,Western Asia,Upper middle income,Business,Impact commitments,2.2
israel,Israel,Asia,Western Asia,High income,Business,Impact commitments,1.7
jordan,Jordan,Asia,Western Asia,Upper middle income,Business,Impact commitments,2.5
kuwait,Kuwait,Asia,Western Asia,High income,Business,Impact commitments,2.1
lebanon,Lebanon,Asia,Western Asia,Upper middle income,Business,Impact commitments,2.7
oman,Oman,Asia,Western Asia,High income,Business,Impact commitments,1.4
qatar,Qatar,Asia,Western Asia,High income,Business,Impact commitments,2.3
saudi-arabia,Saudi Arabia,Asia,Western Asia,High income,Business,Impact commitments,3.1
state-of-palestine,State of Palestine,Asia,Western Asia,Lower middle income,Business,Impact commitments,3.1
syrian-arab-republic,Syrian Arab Republic,Asia,Western Asia,Low income,Business,Impact commitments,4.8
turkey,Turkey,Asia,Western Asia,Upper middle income,Business,Impact commitments,5.4
united-arab-emirates,United Arab Emirates,Asia,Western Asia,High income,Business,Impact commitments,2.2
yemen,Yemen,Asia,Western Asia,Low income,Business,Impact commitments,3
belarus,Belarus,Europe,Eastern Europe,Upper middle income,Business,Impact commitments,3.9
bulgaria,Bulgaria,Europe,Eastern Europe,Upper middle income,Business,Impact commitments,5.4
czechia,Czechia,Europe,Eastern Europe,High income,Business,Impact commitments,3.1
hungary,Hungary,Europe,Eastern Europe,High income,Business,Impact commitments,5.5
poland,Poland,Europe,Eastern Europe,High income,Business,Impact commitments,4.9
republic-of-moldova,Republic of Moldova,Europe,Eastern Europe,Lower middle income,Business,Impact commitments,3.3
romania,Romania,Europe,Eastern Europe,High income,Business,Impact commitments,1.1
russian-federation,Russian Federation,Europe,Eastern Europe,Upper middle income,Business,Impact commitments,4.4
slovakia,Slovakia,Europe,Eastern Europe,High income,Business,Impact commitments,5.4
ukraine,Ukraine,Europe,Eastern Europe,Lower middle income,Business,Impact commitments,4.7
åland-islands,Åland Islands,Europe,Northern Europe,,Business,Impact commitments,1.7
guernsey,Guernsey,Europe,Northern Europe,,Business,Impact commitments,3.7
jersey,Jersey,Europe,Northern Europe,,Business,Impact commitments,4
sark,Sark,Europe,Northern Europe,,Business,Impact commitments,6
denmark,Denmark,Europe,Northern Europe,High income,Business,Impact commitments,1.1
estonia,Estonia,Europe,Northern Europe,High income,Business,Impact commitments,1.1
faroe-islands,Faroe Islands,Europe,Northern Europe,High income,Business,Impact commitments,2.9
finland,Finland,Europe,Northern Europe,High income,Business,Impact commitments,1.8
iceland,Iceland,Europe,Northern Europe,High income,Business,Impact commitments,4.8
ireland,Ireland,Europe,Northern Europe,High income,Business,Impact commitments,5.2
isle-of-man,Isle of Man,Europe,Northern Europe,High income,Business,Impact commitments,2
latvia,Latvia,Europe,Northern Europe,High income,Business,Impact commitments,5.6
lithuania,Lithuania,Europe,Northern Europe,High income,Business,Impact commitments,4.3
norway,Norway,Europe,Northern Europe,High income,Business,Impact commitments,3.7
svalbard-and-jan-mayen-islands,Svalbard and Jan Mayen Islands,Europe,Northern Europe,,Business,Impact commitments,1.6
sweden,Sweden,Europe,Northern Europe,High income,Business,Impact commitments,1.2
united-kingdom-of-great-britain-and-northern-ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,High income,Business,Impact commitments,6
albania,Albania,Europe,Southern Europe,Upper middle income,Business,Impact commitments,1.7
andorra,Andorra,Europe,Southern Europe,High income,Business,Impact commitments,2.9
bosnia-and-herzegovina,Bosnia and Herzegovina,Europe,Southern Europe,Upper middle income,Business,Impact commitments,2.4
croatia,Croatia,Europe,Southern Europe,High income,Business,Impact commitments,5.7
gibraltar,Gibraltar,Europe,Southern Europe,High income,Business,Impact commitments,3.1
greece,Greece,Europe,Southern Europe,High income,Business,Impact commitments,5.2
holy-see,Holy See,Europe,Southern Europe,,Business,Impact commitments,5.3
italy,Italy,Europe,Southern Europe,High income,Business,Impact commitments,2.8
malta,Malta,Europe,Southern Europe,High income,Business,Impact commitments,4.9
montenegro,Montenegro,Europe,Southern Europe,Upper middle income,Business,Impact commitments,4.9
north-macedonia,North Macedonia,Europe,Southern Europe,Upper middle income,Business,Impact commitments,2
portugal,Portugal,Europe,Southern Europe,High income,Business,Impact commitments,3.9
san-marino,San Marino,Europe,Southern Europe,High income,Business,Impact commitments,5.5
serbia,Serbia,Europe,Southern Europe,Upper middle income,Business,Impact commitments,1.6
slovenia,Slovenia,Europe,Southern Europe,High income,Business,Impact commitments,5.7
spain,Spain,Europe,Southern Europe,High income,Business,Impact commitments,1.9
austria,Austria,Europe,Western Europe,High income,Business,Impact commitments,5.8
belgium,Belgium,Europe,Western Europe,High income,Business,Impact commitments,1.5
france,France,Europe,Western Europe,High income,Business,Impact commitments,5
germany,Germany,Europe,Western Europe,High income,Business,Impact commitments,3.1
liechtenstein,Liechtenstein,Europe,Western Europe,High income,Business,Impact commitments,4.8
luxembourg,Luxembourg,Europe,Western Europe,High income,Business,Impact commitments,4.8
monaco,Monaco,Europe,Western Europe,High income,Business,Impact commitments,1.6
netherlands,Netherlands,Europe,Western Europe,High income,Business,Impact commitments,5.3
switzerland,Switzerland,Europe,Western Europe,High income,Business,Impact commitments,5.5
australia,Australia,Oceania,Australia and New Zealand,High income,Business,Impact commitments,2.4
christmas-island,Christmas Island,Oceania,Australia and New Zealand,,Business,Impact commitments,2.3
cocos-(keeling)-islands,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,,Business,Impact commitments,4.6
heard-island-and-mcdonald-islands,Heard Island and McDonald Islands,Oceania,Australia and New Zealand,,Business,Impact commitments,2
new-zealand,New Zealand,Oceania,Australia and New Zealand,High income,Business,Impact commitments,5.8
norfolk-island,Norfolk Island,Oceania,Australia and New Zealand,,Business,Impact commitments,3.8
fiji,Fiji,Oceania,Melanesia,Upper middle income,Business,Impact commitments,4.6
new-caledonia,New Caledonia,Oceania,Melanesia,High income,Business,Impact commitments,4.4
papua-new-guinea,Papua New Guinea,Oceania,Melanesia,Lower middle income,Business,Impact commitments,4.1
solomon-islands,Solomon Islands,Oceania,Melanesia,Lower middle income,Business,Impact commitments,1.1
vanuatu,Vanuatu,Oceania,Melanesia,Lower middle income,Business,Impact commitments,2.6
guam,Guam,Oceania,Micronesia,High income,Business,Impact commitments,3.8
kiribati,Kiribati,Oceania,Micronesia,Lower middle income,Business,Impact commitments,3.2
marshall-islands,Marshall Islands,Oceania,Micronesia,Upper middle income,Business,Impact commitments,3
micronesia-(federated-states-of),Micronesia (Federated States of),Oceania,Micronesia,Lower middle income,Business,Impact commitments,1.9
nauru,Nauru,Oceania,Micronesia,High income,Business,Impact commitments,1.4
northern-mariana-islands,Northern Mariana Islands,Oceania,Micronesia,High income,Business,Impact commitments,6
palau,Palau,Oceania,Micronesia,High income,Business,Impact commitments,4.2
united-states-minor-outlying-islands,United States Minor Outlying Islands,Oceania,Micronesia,,Business,Impact commitments,3.9
american-samoa,American Samoa,Oceania,Polynesia,Upper middle income,Business,Impact commitments,3.7
cook-islands,Cook Islands,Oceania,Polynesia,,Business,Impact commitments,4.4
french-polynesia,French Polynesia,Oceania,Polynesia,High income,Business,Impact commitments,1.4
niue,Niue,Oceania,Polynesia,,Business,Impact commitments,1.8
pitcairn,Pitcairn,Oceania,Polynesia,,Business,Impact commitments,2.3
samoa,Samoa,Oceania,Polynesia,Upper middle income,Business,Impact commitments,2.8
tokelau,Tokelau,Oceania,Polynesia,,Business,Impact commitments,2.3
tonga,Tonga,Oceania,Polynesia,Upper middle income,Business,Impact commitments,5.4
tuvalu,Tuvalu,Oceania,Polynesia,Upper middle income,Business,Impact commitments,3.9
wallis-and-futuna-islands,Wallis and Futuna Islands,Oceania,Polynesia,,Business,Impact commitments,1.2
algeria,Algeria,Africa,Northern Africa,Lower middle income,Business,Startup environment,4
egypt,Egypt,Africa,Northern Africa,Lower middle income,Business,Startup environment,3.4
libya,Libya,Africa,Northern Africa,Upper middle income,Business,Startup environment,1.9
morocco,Morocco,Africa,Northern Africa,Lower middle income,Business,Startup environment,3.7
sudan,Sudan,Africa,Northern Africa,Low income,Business,Startup environment,2.3
tunisia,Tunisia,Africa,Northern Africa,Lower middle income,Business,Startup environment,5.8
western-sahara,Western Sahara,Africa,Northern Africa,,Business,Startup environment,5.5
british-indian-ocean-territory,British Indian Ocean Territory,Africa,Sub-Saharan Africa,,Business,Startup environment,4.8
burundi,Burundi,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,1.1
comoros,Comoros,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,5.3
djibouti,Djibouti,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,2.2
eritrea,Eritrea,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,1.6
ethiopia,Ethiopia,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,1.5
french-southern-territories,French Southern Territories,Africa,Sub-Saharan Africa,,Business,Startup environment,1.1
kenya,Kenya,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,4.1
madagascar,Madagascar,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,2.1
malawi,Malawi,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,3.7
mauritius,Mauritius,Africa,Sub-Saharan Africa,High income,Business,Startup environment,2.3
mayotte,Mayotte,Africa,Sub-Saharan Africa,,Business,Startup environment,5.1
mozambique,Mozambique,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,5.6
réunion,Réunion,Africa,Sub-Saharan Africa,,Business,Startup environment,5.6
rwanda,Rwanda,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,3.4
seychelles,Seychelles,Africa,Sub-Saharan Africa,High income,Business,Startup environment,4.4
somalia,Somalia,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,4.7
south-sudan,South Sudan,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,1.3
uganda,Uganda,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,5.1
united-republic-of-tanzania,United Republic of Tanzania,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,4
zambia,Zambia,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,5.3
zimbabwe,Zimbabwe,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,5.5
angola,Angola,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,3.4
cameroon,Cameroon,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,1.4
central-african-republic,Central African Republic,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,4.7
chad,Chad,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,1.5
congo,Congo,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,2
democratic-republic-of-the-congo,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,1.3
equatorial-guinea,Equatorial Guinea,Africa,Sub-Saharan Africa,Upper middle income,Business,Startup environment,3.2
gabon,Gabon,Africa,Sub-Saharan Africa,Upper middle income,Business,Startup environment,4.5
sao-tome-and-principe,Sao Tome and Principe,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,1.9
botswana,Botswana,Africa,Sub-Saharan Africa,Upper middle income,Business,Startup environment,2.2
eswatini,Eswatini,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,1.9
lesotho,Lesotho,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,2.4
namibia,Namibia,Africa,Sub-Saharan Africa,Upper middle income,Business,Startup environment,2.7
south-africa,South Africa,Africa,Sub-Saharan Africa,Upper middle income,Business,Startup environment,5.8
benin,Benin,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,1.4
burkina-faso,Burkina Faso,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,3.9
cabo-verde,Cabo Verde,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,5.3
côte-d’ivoire,Côte d’Ivoire,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,4.9
gambia,Gambia,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,5.5
ghana,Ghana,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,1.8
guinea,Guinea,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,5
guinea-bissau,Guinea-Bissau,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,5.4
liberia,Liberia,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,3.7
mali,Mali,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,3.8
mauritania,Mauritania,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,5
niger,Niger,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,4.2
nigeria,Nigeria,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,3.6
saint-helena,Saint Helena,Africa,Sub-Saharan Africa,,Business,Startup environment,4.8
senegal,Senegal,Africa,Sub-Saharan Africa,Lower middle income,Business,Startup environment,5
sierra-leone,Sierra Leone,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,5
togo,Togo,Africa,Sub-Saharan Africa,Low income,Business,Startup environment,2.2
anguilla,Anguilla,Americas,Latin America and the Caribbean,,Business,Startup environment,3.3
antigua-and-barbuda,Antigua and Barbuda,Americas,Latin America and the Caribbean,High income,Business,Startup environment,2.3
aruba,Aruba,Americas,Latin America and the Caribbean,High income,Business,Startup environment,4.7
bahamas,Bahamas,Americas,Latin America and the Caribbean,High income,Business,Startup environment,4
barbados,Barbados,Americas,Latin America and the Caribbean,High income,Business,Startup environment,4.1
british-virgin-islands,British Virgin Islands,Americas,Latin America and the Caribbean,High income,Business,Startup environment,5.6
cayman-islands,Cayman Islands,Americas,Latin America and the Caribbean,High income,Business,Startup environment,5.3
cuba,Cuba,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,5.5
curaçao,Curaçao,Americas,Latin America and the Caribbean,High income,Business,Startup environment,3.8
dominica,Dominica,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,3.7
dominican-republic,Dominican Republic,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,3.4
grenada,Grenada,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,1.4
guadeloupe,Guadeloupe,Americas,Latin America and the Caribbean,,Business,Startup environment,2.1
haiti,Haiti,Americas,Latin America and the Caribbean,Low income,Business,Startup environment,2.2
jamaica,Jamaica,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,5.9
martinique,Martinique,Americas,Latin America and the Caribbean,,Business,Startup environment,2.7
montserrat,Montserrat,Americas,Latin America and the Caribbean,,Business,Startup environment,1.9
puerto-rico,Puerto Rico,Americas,Latin America and the Caribbean,High income,Business,Startup environment,1.3
saint-barthélemy,Saint Barthélemy,Americas,Latin America and the Caribbean,,Business,Startup environment,5.3
saint-kitts-and-nevis,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,High income,Business,Startup environment,5.2
saint-lucia,Saint Lucia,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,4.4
saint-martin-(french-part),Saint Martin (French Part),Americas,Latin America and the Caribbean,,Business,Startup environment,1.4
saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,5.5
sint-maarten-(dutch-part),Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,High income,Business,Startup environment,3.9
trinidad-and-tobago,Trinidad and Tobago,Americas,Latin America and the Caribbean,High income,Business,Startup environment,5.1
turks-and-caicos-islands,Turks and Caicos Islands,Americas,Latin America and the Caribbean,High income,Business,Startup environment,4.4
united-states-virgin-islands,United States Virgin Islands,Americas,Latin America and the Caribbean,High income,Business,Startup environment,2.7
belize,Belize,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,4.7
costa-rica,Costa Rica,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,3.4
el-salvador,El Salvador,Americas,Latin America and the Caribbean,Lower middle income,Business,Startup environment,5.3
guatemala,Guatemala,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,1.2
honduras,Honduras,Americas,Latin America and the Caribbean,Lower middle income,Business,Startup environment,2.7
mexico,Mexico,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,2.1
nicaragua,Nicaragua,Americas,Latin America and the Caribbean,Lower middle income,Business,Startup environment,2.6
panama,Panama,Americas,Latin America and the Caribbean,High income,Business,Startup environment,3.8
argentina,Argentina,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,5.2
bolivia-(plurinational-state-of),Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Lower middle income,Business,Startup environment,5.1
bouvet-island,Bouvet Island,Americas,Latin America and the Caribbean,,Business,Startup environment,2.1
brazil,Brazil,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,3.4
chile,Chile,Americas,Latin America and the Caribbean,High income,Business,Startup environment,3.1
colombia,Colombia,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,4.3
ecuador,Ecuador,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,1.1
falkland-islands-(malvinas),Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,,Business,Startup environment,1.1
french-guiana,French Guiana,Americas,Latin America and the Caribbean,,Business,Startup environment,4.5
guyana,Guyana,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,5.6
paraguay,Paraguay,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,4.3
peru,Peru,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,2.6
south-georgia-and-the-south-sandwich-islands,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,,Business,Startup environment,3.9
suriname,Suriname,Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,1.6
uruguay,Uruguay,Americas,Latin America and the Caribbean,High income,Business,Startup environment,1.7
venezuela-(bolivarian-republic-of),Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Upper middle income,Business,Startup environment,3.6
bermuda,Bermuda,Americas,Northern America,High income,Business,Startup environment,5.2
canada,Canada,Americas,Northern America,High income,Business,Startup environment,2.6
greenland,Greenland,Americas,Northern America,High income,Business,Startup environment,2.6
saint-pierre-and-miquelon,Saint Pierre and Miquelon,Americas,Northern America,,Business,Startup environment,1.9
united-states-of-america,United States of America,Americas,Northern America,High income,Business,Startup environment,3.9
kazakhstan,Kazakhstan,Asia,Central Asia,Upper middle income,Business,Startup environment,2.5
kyrgyzstan,Kyrgyzstan,Asia,Central Asia,Lower middle income,Business,Startup environment,3
tajikistan,Tajikistan,Asia,Central Asia,Low income,Business,Startup environment,3.8
turkmenistan,Turkmenistan,Asia,Central Asia,Upper middle income,Business,Startup environment,2.1
uzbekistan,Uzbekistan,Asia,Central Asia,Lower middle income,Business,Startup environment,2.8
china,China,Asia,Eastern Asia,Upper middle income,Business,Startup environment,6
china,China,Asia,Eastern Asia,Upper middle income,Business,Startup environment,5.4
china,China,Asia,Eastern Asia,Upper middle income,Business,Startup environment,3.6
democratic-people's-republic-of-korea,Democratic People's Republic of Korea,Asia,Eastern Asia,Low income,Business,Startup environment,2.2
japan,Japan,Asia,Eastern Asia,High income,Business,Startup environment,5.3
mongolia,Mongolia,Asia,Eastern Asia,Lower middle income,Business,Startup environment,4.2
republic-of-korea,Republic of Korea,Asia,Eastern Asia,High income,Business,Startup environment,4.6
brunei-darussalam,Brunei Darussalam,Asia,South-eastern Asia,High income,Business,Startup environment,6
cambodia,Cambodia,Asia,South-eastern Asia,Lower middle income,Business,Startup environment,4.5
indonesia,Indonesia,Asia,South-eastern Asia,Upper middle income,Business,Startup environment,2.2
lao-people's-democratic-republic,Lao People's Democratic Republic,Asia,South-eastern Asia,Lower middle income,Business,Startup environment,1.4
malaysia,Malaysia,Asia,South-eastern Asia,Upper middle income,Business,Startup environment,1.4
myanmar,Myanmar,Asia,South-eastern Asia,Lower middle income,Business,Startup environment,3.4
philippines,Philippines,Asia,South-eastern Asia,Lower middle income,Business,Startup environment,4.7
singapore,Singapore,Asia,South-eastern Asia,High income,Business,Startup environment,5.4
thailand,Thailand,Asia,South-eastern Asia,Upper middle income,Business,Startup environment,4.4
timor-leste,Timor-Leste,Asia,South-eastern Asia,Lower middle income,Business,Startup environment,5.5
viet-nam,Viet Nam,Asia,South-eastern Asia,Lower middle income,Business,Startup environment,3
afghanistan,Afghanistan,Asia,Southern Asia,Low income,Business,Startup environment,5.2
bangladesh,Bangladesh,Asia,Southern Asia,Lower middle income,Business,Startup environment,3.2
bhutan,Bhutan,Asia,Southern Asia,Lower middle income,Business,Startup environment,3.1
india,India,Asia,Southern Asia,Lower middle income,Business,Startup environment,2.4
iran-(islamic-republic-of),Iran (Islamic Republic of),Asia,Southern Asia,Upper middle income,Business,Startup environment,1
maldives,Maldives,Asia,Southern Asia,Upper middle income,Business,Startup environment,3.6
nepal,Nepal,Asia,Southern Asia,Lower middle income,Business,Startup environment,1.1
pakistan,Pakistan,Asia,Southern Asia,Lower middle income,Business,Startup environment,4.4
sri-lanka,Sri Lanka,Asia,Southern Asia,Lower middle income,Business,Startup environment,2.3
armenia,Armenia,Asia,Western Asia,Upper middle income,Business,Startup environment,3.4
azerbaijan,Azerbaijan,Asia,Western Asia,Upper middle income,Business,Startup environment,5.5
bahrain,Bahrain,Asia,Western Asia,High income,Business,Startup environment,2.6
cyprus,Cyprus,Asia,Western Asia,High income,Business,Startup environment,4
georgia,Georgia,Asia,Western Asia,Upper middle income,Business,Startup environment,4.2
iraq,Iraq,Asia,Western Asia,Upper middle income,Business,Startup environment,1.6
israel,Israel,Asia,Western Asia,High income,Business,Startup environment,2.1
jordan,Jordan,Asia,Western Asia,Upper middle income,Business,Startup environment,1.8
kuwait,Kuwait,Asia,Western Asia,High income,Business,Startup environment,2.2
lebanon,Lebanon,Asia,Western Asia,Upper middle income,Business,Startup environment,5.9
oman,Oman,Asia,Western Asia,High income,Business,Startup environment,4.2
qatar,Qatar,Asia,Western Asia,High income,Business,Startup environment,4.5
saudi-arabia,Saudi Arabia,Asia,Western Asia,High income,Business,Startup environment,1.4
state-of-palestine,State of Palestine,Asia,Western Asia,Lower middle income,Business,Startup environment,5.4
syrian-arab-republic,Syrian Arab Republic,Asia,Western Asia,Low income,Business,Startup environment,2.1
turkey,Turkey,Asia,Western Asia,Upper middle income,Business,Startup environment,2.3
united-arab-emirates,United Arab Emirates,Asia,Western Asia,High income,Business,Startup environment,2.2
yemen,Yemen,Asia,Western Asia,Low income,Business,Startup environment,1.4
belarus,Belarus,Europe,Eastern Europe,Upper middle income,Business,Startup environment,5.8
bulgaria,Bulgaria,Europe,Eastern Europe,Upper middle income,Business,Startup environment,4.3
czechia,Czechia,Europe,Eastern Europe,High income,Business,Startup environment,3.3
hungary,Hungary,Europe,Eastern Europe,High income,Business,Startup environment,5
poland,Poland,Europe,Eastern Europe,High income,Business,Startup environment,5.5
republic-of-moldova,Republic of Moldova,Europe,Eastern Europe,Lower middle income,Business,Startup environment,1.3
romania,Romania,Europe,Eastern Europe,High income,Business,Startup environment,3.4
russian-federation,Russian Federation,Europe,Eastern Europe,Upper middle income,Business,Startup environment,1.9
slovakia,Slovakia,Europe,Eastern Europe,High income,Business,Startup environment,2.1
ukraine,Ukraine,Europe,Eastern Europe,Lower middle income,Business,Startup environment,5
åland-islands,Åland Islands,Europe,Northern Europe,,Business,Startup environment,4.3
guernsey,Guernsey,Europe,Northern Europe,,Business,Startup environment,3.7
jersey,Jersey,Europe,Northern Europe,,Business,Startup environment,4.7
sark,Sark,Europe,Northern Europe,,Business,Startup environment,4.9
denmark,Denmark,Europe,Northern Europe,High income,Business,Startup environment,3.1
estonia,Estonia,Europe,Northern Europe,High income,Business,Startup environment,5.9
faroe-islands,Faroe Islands,Europe,Northern Europe,High income,Business,Startup environment,2.2
finland,Finland,Europe,Northern Europe,High income,Business,Startup environment,1.2
iceland,Iceland,Europe,Northern Europe,High income,Business,Startup environment,1.1
ireland,Ireland,Europe,Northern Europe,High income,Business,Startup environment,5
isle-of-man,Isle of Man,Europe,Northern Europe,High income,Business,Startup environment,5.9
latvia,Latvia,Europe,Northern Europe,High income,Business,Startup environment,2.7
lithuania,Lithuania,Europe,Northern Europe,High income,Business,Startup environment,2.9
norway,Norway,Europe,Northern Europe,High income,Business,Startup environment,2.7
svalbard-and-jan-mayen-islands,Svalbard and Jan Mayen Islands,Europe,Northern Europe,,Business,Startup environment,5.7
sweden,Sweden,Europe,Northern Europe,High income,Business,Startup environment,5.8
united-kingdom-of-great-britain-and-northern-ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,High income,Business,Startup environment,6
