Country or Area,Category,Demographic,% of population
Puerto Rico,Age,30-39 years old,0.144504364549034
"Democratic People's Republic of Korea (the)",Age,30-39 years old,0.18625214589992
Portugal,Age,30-39 years old,0.142083390278893
Paraguay,Age,30-39 years old,0.237135725858627
State of Palestine (the) *,Age,30-39 years old,0.234783014373345
French Polynesia,Age,30-39 years old,0.210918729633773
Qatar,Age,30-39 years old,0.348031735716665
R̩union,Age,30-39 years old,0.152507882178303
Romania,Age,30-39 years old,0.165237439599898
Russian Federation (the),Age,30-39 years old,0.213212868064982
Rwanda,Age,30-39 years old,0.258773701894153
Saudi Arabia,Age,30-39 years old,0.280752956359906
Sudan (the),Age,30-39 years old,0.221921530740336
Senegal,Age,30-39 years old,0.240787096212269
Singapore,Age,30-39 years old,0.17991625586208
Solomon Islands,Age,30-39 years old,0.222425837722663
Sierra Leone,Age,30-39 years old,0.241068975758471
El Salvador,Age,30-39 years old,0.19992799853369
Somalia,Age,30-39 years old,0.206412130931996
Serbia,Age,30-39 years old,0.171380503726224
South Sudan,Age,30-39 years old,0.228913425914249
Sao Tome and Principe,Age,30-39 years old,0.237914861303435
Suriname,Age,30-39 years old,0.20714936293301
Slovakia,Age,30-39 years old,0.190349391854261
Slovenia,Age,30-39 years old,0.16600941571971
Sweden,Age,30-39 years old,0.165251127333206
Eswatini,Age,30-39 years old,0.249771638597567
Seychelles,Age,30-39 years old,0.203904677448869
Syrian Arab Republic (the),Age,30-39 years old,0.260423037963163
Chad,Age,30-39 years old,0.231708790891525
Togo,Age,30-39 years old,0.244041421320169
Thailand,Age,30-39 years old,0.165797935235507
Tajikistan,Age,30-39 years old,0.253212621556377
Turkmenistan,Age,30-39 years old,0.24693893018781
Timor-Leste,Age,30-39 years old,0.215121414744543
Tonga,Age,30-39 years old,0.196649072684132
Trinidad and Tobago,Age,30-39 years old,0.228222361301405
Tunisia,Age,30-39 years old,0.225851777278419
Turkey,Age,30-39 years old,0.212707576370496
United Republic of Tanzania (the),Age,30-39 years old,0.241105736431749
Uganda,Age,30-39 years old,0.238100872600887
Ukraine,Age,30-39 years old,0.202874000356389
Uruguay,Age,30-39 years old,0.175917600495923
United States of America (the),Age,30-39 years old,0.173462371657436
Uzbekistan,Age,30-39 years old,0.250046671953465
Saint Vincent and the Grenadines,Age,30-39 years old,0.193306674869271
Venezuela (Bolivarian Republic of),Age,30-39 years old,0.210425074300629
United States Virgin Islands,Age,30-39 years old,0.121340216469649
Viet Nam,Age,30-39 years old,0.228720949490184
Vanuatu,Age,30-39 years old,0.240414890560595
Samoa,Age,30-39 years old,0.195441590382413
Yemen,Age,30-39 years old,0.254261874799959
South Africa,Age,30-39 years old,0.258767853423086
Zambia,Age,30-39 years old,0.243442182991219
Zimbabwe,Age,30-39 years old,0.245132788201762
Aruba,Age,40-49 years old,0.17003455260336
Afghanistan,Age,40-49 years old,0.14973493240765
Angola,Age,40-49 years old,0.156581445766963
Albania,Age,40-49 years old,0.142522886152532
United Arab Emirates (the),Age,40-49 years old,0.195976370848931
Argentina,Age,40-49 years old,0.178879847925346
Armenia,Age,40-49 years old,0.157498283785779
Antigua and Barbuda,Age,40-49 years old,0.191529054100739
Australia,Age,40-49 years old,0.168101511945491
Austria,Age,40-49 years old,0.158326560953035
Azerbaijan,Age,40-49 years old,0.173671829893126
Burundi,Age,40-49 years old,0.129987984102364
Belgium,Age,40-49 years old,0.164518308204956
Benin,Age,40-49 years old,0.157315551604725
Burkina Faso,Age,40-49 years old,0.155675006466298
Bangladesh,Age,40-49 years old,0.185575428757791
Bulgaria,Age,40-49 years old,0.185234928126263
Bahrain,Age,40-49 years old,0.1922259319799
Bahamas (the),Age,40-49 years old,0.195540664954555
Bosnia and Herzegovina,Age,40-49 years old,0.16527735224307
Belarus,Age,40-49 years old,0.170303036887392
Belize,Age,40-49 years old,0.170567601545888
Bolivia (Plurinational State of),Age,40-49 years old,0.166010895234582
Brazil,Age,40-49 years old,0.185339835856829
Barbados,Age,40-49 years old,0.17144048272079
Brunei Darussalam,Age,40-49 years old,0.212606376659351
Bhutan,Age,40-49 years old,0.166498193872545
Botswana,Age,40-49 years old,0.182787453517931
Central African Republic (the),Age,40-49 years old,0.144066556034133
Canada,Age,40-49 years old,0.158274034185295
Switzerland,Age,40-49 years old,0.16407841301659
Chile,Age,40-49 years old,0.175371938724117
China,Age,40-49 years old,0.190381698695907
"C̫te d'Ivoire",Age,40-49 years old,0.15516820919986
Cameroon,Age,40-49 years old,0.157377458486632
Democratic Republic of the Congo (the),Age,40-49 years old,0.154940930949894
Congo (the),Age,40-49 years old,0.185779663032651
Colombia,Age,40-49 years old,0.173958579070412
Comoros (the),Age,40-49 years old,0.162112453467059
Cabo Verde,Age,40-49 years old,0.17538038353144
Costa Rica,Age,40-49 years old,0.170379744315935
Cuba,Age,40-49 years old,0.170806138812752
Cura̤ao,Age,40-49 years old,0.159045460605253
Cyprus,Age,40-49 years old,0.172704969771344
Czechia,Age,40-49 years old,0.206226871415679
Germany,Age,40-49 years old,0.147025135240763
Djibouti,Age,40-49 years old,0.186584125798702
Denmark,Age,40-49 years old,0.158817549796747
Dominican Republic (the),Age,40-49 years old,0.174732226891995
Algeria,Age,40-49 years old,0.190782612154511
Ecuador,Age,40-49 years old,0.175831430044942
Egypt,Age,40-49 years old,0.1756105555709
Eritrea,Age,40-49 years old,0.151848840000779
Western Sahara,Age,40-49 years old,0.204012034625421
Spain,Age,40-49 years old,0.205328357550366
Estonia,Age,40-49 years old,0.173038003463792
Ethiopia,Age,40-49 years old,0.147754780812431
Finland,Age,40-49 years old,0.147097787154703
Fiji,Age,40-49 years old,0.180367090536582
France,Age,40-49 years old,0.161993999016634
Micronesia (Federated States of),Age,40-49 years old,0.158143074581431
Gabon,Age,40-49 years old,0.181758255351231
United Kingdom of Great Britain and Northern Ireland (the),Age,40-49 years old,0.160267771992776
Georgia,Age,40-49 years old,0.169760975879957
Ghana,Age,40-49 years old,0.172056170713324
Guinea,Age,40-49 years old,0.13717463661903
Guadeloupe,Age,40-49 years old,0.159804372767756
Gambia (the),Age,40-49 years old,0.145514811300644
Guinea-Bissau,Age,40-49 years old,0.154290877844392
Equatorial Guinea,Age,40-49 years old,0.141618493561847
Greece,Age,40-49 years old,0.181330922665522
Grenada,Age,40-49 years old,0.158346045962305
Guatemala,Age,40-49 years old,0.15807594958341
French Guiana,Age,40-49 years old,0.198628555472622
Guam,Age,40-49 years old,0.165815520252849
Guyana,Age,40-49 years old,0.172708194219212
"China, Hong Kong Special Administrative Region",Age,40-49 years old,0.176611701234935
Honduras,Age,40-49 years old,0.167620193403731
Croatia,Age,40-49 years old,0.164182470032385
Haiti,Age,40-49 years old,0.157968178424905
Hungary,Age,40-49 years old,0.199078420612332
Indonesia,Age,40-49 years old,0.20068275263887
India,Age,40-49 years old,0.179903711043286
Ireland,Age,40-49 years old,0.205299171140385
Iran (Islamic Republic of),Age,40-49 years old,0.194774064417428
Iraq,Age,40-49 years old,0.174801927900144
Iceland,Age,40-49 years old,0.164004259850905
Israel,Age,40-49 years old,0.178110822586431
Italy,Age,40-49 years old,0.177298736447373
Jamaica,Age,40-49 years old,0.167935789450439
Jordan,Age,40-49 years old,0.183676970442418
Japan,Age,40-49 years old,0.172099078620135
Kazakhstan,Age,40-49 years old,0.181428866159352
Kenya,Age,40-49 years old,0.1672146479915
Kyrgyzstan,Age,40-49 years old,0.167830015249161
Cambodia,Age,40-49 years old,0.133961517420686
Kiribati,Age,40-49 years old,0.158874385006967
Republic of Korea (the),Age,40-49 years old,0.18927532611924
Kuwait,Age,40-49 years old,0.30051912345463
"Lao People's Democratic Republic (the)",Age,40-49 years old,0.170864698980452
Lebanon,Age,40-49 years old,0.180810747088195
Liberia,Age,40-49 years old,0.166076309049782
Libya,Age,40-49 years old,0.227108169681752
Saint Lucia,Age,40-49 years old,0.178337049125333
Sri Lanka,Age,40-49 years old,0.187985140254249
Lesotho,Age,40-49 years old,0.159167713900707
Lithuania,Age,40-49 years old,0.159724861921596
Luxembourg,Age,40-49 years old,0.18604102342229
Latvia,Age,40-49 years old,0.166897951697694
"China, Macao Special Administrative Region",Age,40-49 years old,0.171839842808546
Morocco,Age,40-49 years old,0.176460656817006
Republic of Moldova (the),Age,40-49 years old,0.171965499835614
Madagascar,Age,40-49 years old,0.161864206292879
Maldives,Age,40-49 years old,0.153923991562025
Mexico,Age,40-49 years old,0.186179663887912
North Macedonia,Age,40-49 years old,0.179382934333743
Mali,Age,40-49 years old,0.159440167916577
Malta,Age,40-49 years old,0.162393255787271
Myanmar,Age,40-49 years old,0.192587135638029
Montenegro,Age,40-49 years old,0.170793605568162
Mongolia,Age,40-49 years old,0.19907728535167
Mozambique,Age,40-49 years old,0.149748814719457
Mauritania,Age,40-49 years old,0.168033174695945
Martinique,Age,40-49 years old,0.14627630520493
Mauritius,Age,40-49 years old,0.181708231006655
Malawi,Age,40-49 years old,0.150369009483014
Malaysia,Age,40-49 years old,0.171975518439088
Mayotte,Age,40-49 years old,0.184778055536788
Namibia,Age,40-49 years old,0.163128038174476
New Caledonia,Age,40-49 years old,0.194651993343601
Niger (the),Age,40-49 years old,0.145161884576525
Nigeria,Age,40-49 years old,0.165614338841113
Nicaragua,Age,40-49 years old,0.177237326926155
Netherlands (the),Age,40-49 years old,0.155466630188912
Norway,Age,40-49 years old,0.168786323122676
Nepal,Age,40-49 years old,0.161543357188711
New Zealand,Age,40-49 years old,0.159808340369187
Oman,Age,40-49 years old,0.178945963188235
Pakistan,Age,40-49 years old,0.162644191429831
Panama,Age,40-49 years old,0.188208324538473
Peru,Age,40-49 years old,0.186042386787752
Philippines (the),Age,40-49 years old,0.175026540321378
Papua New Guinea,Age,40-49 years old,0.179116329106289
Poland,Age,40-49 years old,0.178306897804433
Puerto Rico,Age,40-49 years old,0.174025767969711
"Democratic People's Republic of Korea (the)",Age,40-49 years old,0.18995592006533
Portugal,Age,40-49 years old,0.184241849322107
Paraguay,Age,40-49 years old,0.155572013722805
State of Palestine (the) *,Age,40-49 years old,0.158386713244203
French Polynesia,Age,40-49 years old,0.192539273381645
Qatar,Age,40-49 years old,0.189937194868652
R̩union,Age,40-49 years old,0.179919153999975
Romania,Age,40-49 years old,0.193389467245842
Russian Federation (the),Age,40-49 years old,0.177545415955425
Rwanda,Age,40-49 years old,0.152774585339097
Saudi Arabia,Age,40-49 years old,0.257764024369055
Sudan (the),Age,40-49 years old,0.158972398577722
Senegal,Age,40-49 years old,0.156334152706779
Singapore,Age,40-49 years old,0.193613019570733
Solomon Islands,Age,40-49 years old,0.186154567658931
Sierra Leone,Age,40-49 years old,0.159494486381221
El Salvador,Age,40-49 years old,0.164289764894142
Somalia,Age,40-49 years old,0.14177264026713
Serbia,Age,40-49 years old,0.173497925110431
South Sudan,Age,40-49 years old,0.153878925548012
Sao Tome and Principe,Age,40-49 years old,0.16688256577478
Suriname,Age,40-49 years old,0.181971955039986
Slovakia,Age,40-49 years old,0.193447836007258
Slovenia,Age,40-49 years old,0.178696173312919
Sweden,Age,40-49 years old,0.158220032612184
Eswatini,Age,40-49 years old,0.161631878322852
Seychelles,Age,40-49 years old,0.209352082541559
Syrian Arab Republic (the),Age,40-49 years old,0.172788754771418
Chad,Age,40-49 years old,0.141780594395637
Togo,Age,40-49 years old,0.170674737827123
Thailand,Age,40-49 years old,0.196057941391948
Tajikistan,Age,40-49 years old,0.160706021838487
Turkmenistan,Age,40-49 years old,0.179895468874225
Timor-Leste,Age,40-49 years old,0.136339471594591
Tonga,Age,40-49 years old,0.166093651639146
Trinidad and Tobago,Age,40-49 years old,0.179902682160839
Tunisia,Age,40-49 years old,0.185545190792352
Turkey,Age,40-49 years old,0.190592982100634
United Republic of Tanzania (the),Age,40-49 years old,0.162289390995193
Uganda,Age,40-49 years old,0.14625595001296
Ukraine,Age,40-49 years old,0.180288580871074
Uruguay,Age,40-49 years old,0.173580659005293
United States of America (the),Age,40-49 years old,0.156686807798819
Uzbekistan,Age,40-49 years old,0.176219128811722
Saint Vincent and the Grenadines,Age,40-49 years old,0.17820978160566
Venezuela (Bolivarian Republic of),Age,40-49 years old,0.186239978100317
United States Virgin Islands,Age,40-49 years old,0.14671554691007
Viet Nam,Age,40-49 years old,0.19161998143033
Vanuatu,Age,40-49 years old,0.171162877966122
Samoa,Age,40-49 years old,0.173670611842631
Yemen,Age,40-49 years old,0.145098411043673
South Africa,Age,40-49 years old,0.179469702133461
Zambia,Age,40-49 years old,0.157514721652756
Zimbabwe,Age,40-49 years old,0.16510702891042
Aruba,Age,50-59 years old,0.204992255450971
Afghanistan,Age,50-59 years old,9.29798330757041e-02
Angola,Age,50-59 years old,9.50496008194788e-02
Albania,Age,50-59 years old,0.170351600486402
United Arab Emirates (the),Age,50-59 years old,9.72397356106974e-02
Argentina,Age,50-59 years old,0.138192732475261
Armenia,Age,50-59 years old,0.161764843636046
Antigua and Barbuda,Age,50-59 years old,0.177323291646514
Australia,Age,50-59 years old,0.158017383902869
Austria,Age,50-59 years old,0.189062283324142
Azerbaijan,Age,50-59 years old,0.173708847615259
Burundi,Age,50-59 years old,8.55376822966065e-02
Belgium,Age,50-59 years old,0.173218788886415
Benin,Age,50-59 years old,0.104256370166906
Burkina Faso,Age,50-59 years old,9.58777632818053e-02
Bangladesh,Age,50-59 years old,0.134843511708339
Bulgaria,Age,50-59 years old,0.164778389092683
Bahrain,Age,50-59 years old,0.105001284146888
Bahamas (the),Age,50-59 years old,0.17036431978181
Bosnia and Herzegovina,Age,50-59 years old,0.184636453907516
Belarus,Age,50-59 years old,0.178304120127275
Belize,Age,50-59 years old,0.123430442813019
Bolivia (Plurinational State of),Age,50-59 years old,0.118453367881204
Brazil,Age,50-59 years old,0.153629103534446
Barbados,Age,50-59 years old,0.175253976961053
Brunei Darussalam,Age,50-59 years old,0.157012261844467
Bhutan,Age,50-59 years old,0.109657207414785
Botswana,Age,50-59 years old,0.102651316204122
Central African Republic (the),Age,50-59 years old,9.8693497955448e-02
Canada,Age,50-59 years old,0.169238897123528
Switzerland,Age,50-59 years old,0.18574300606109
Chile,Age,50-59 years old,0.159991345683034
China,Age,50-59 years old,0.195732630842371
"C̫te d'Ivoire",Age,50-59 years old,9.7988131443994e-02
Cameroon,Age,50-59 years old,9.46741827381746e-02
Democratic Republic of the Congo (the),Age,50-59 years old,0.101964383422127
Congo (the),Age,50-59 years old,0.11368808069797
Colombia,Age,50-59 years old,0.149504685737536
Comoros (the),Age,50-59 years old,0.107095734226149
Cabo Verde,Age,50-59 years old,0.129461450956126
Costa Rica,Age,50-59 years old,0.157764987929202
Cuba,Age,50-59 years old,0.215127999461987
Cura̤ao,Age,50-59 years old,0.191550930464173
Cyprus,Age,50-59 years old,0.152918752131242
Czechia,Age,50-59 years old,0.154957357971714
Germany,Age,50-59 years old,0.193601957504489
Djibouti,Age,50-59 years old,0.120473766477442
Denmark,Age,50-59 years old,0.17429017382203
Dominican Republic (the),Age,50-59 years old,0.139065157380324
Algeria,Age,50-59 years old,0.133058415355051
Ecuador,Age,50-59 years old,0.133975139720664
Egypt,Age,50-59 years old,0.12582847038496
Eritrea,Age,50-59 years old,9.29718775615252e-02
Western Sahara,Age,50-59 years old,0.128012044481789
Spain,Age,50-59 years old,0.182252432062131
Estonia,Age,50-59 years old,0.154647721541846
Ethiopia,Age,50-59 years old,9.32443165557569e-02
Finland,Age,50-59 years old,0.160701143221628
Fiji,Age,50-59 years old,0.154823142958736
France,Age,50-59 years old,0.168013855846814
Micronesia (Federated States of),Age,50-59 years old,0.13539504635395
Gabon,Age,50-59 years old,0.105025901827494
United Kingdom of Great Britain and Northern Ireland (the),Age,50-59 years old,0.170870282259747
Georgia,Age,50-59 years old,0.171621658383674
Ghana,Age,50-59 years old,0.121183113003995
Guinea,Age,50-59 years old,9.38261878588005e-02
Guadeloupe,Age,50-59 years old,0.201597168655565
Gambia (the),Age,50-59 years old,9.68981328607315e-02
Guinea-Bissau,Age,50-59 years old,9.08431578905877e-02
Equatorial Guinea,Age,50-59 years old,7.63776444057614e-02
Greece,Age,50-59 years old,0.173416743852417
Grenada,Age,50-59 years old,0.149414398897692
Guatemala,Age,50-59 years old,9.7875327902136e-02
French Guiana,Age,50-59 years old,0.1434324775677
Guam,Age,50-59 years old,0.167711885552691
Guyana,Age,50-59 years old,0.151363159400935
"China, Hong Kong Special Administrative Region",Age,50-59 years old,0.188933367806971
Honduras,Age,50-59 years old,0.108790358770401
Croatia,Age,50-59 years old,0.171369038127041
Haiti,Age,50-59 years old,0.112731071328075
Hungary,Age,50-59 years old,0.150590900327984
Indonesia,Age,50-59 years old,0.154595292479832
India,Age,50-59 years old,0.135868443004496
Ireland,Age,50-59 years old,0.161643764131957
Iran (Islamic Republic of),Age,50-59 years old,0.138621187808339
Iraq,Age,50-59 years old,0.103956664119798
Iceland,Age,50-59 years old,0.160740664399327
Israel,Age,50-59 years old,0.136213785657841
Italy,Age,50-59 years old,0.188012669130873
Jamaica,Age,50-59 years old,0.150600012309872
Jordan,Age,50-59 years old,0.121597471205952
Japan,Age,50-59 years old,0.154104256626531
Kazakhstan,Age,50-59 years old,0.161830856272268
Kenya,Age,50-59 years old,9.56829721222011e-02
Kyrgyzstan,Age,50-59 years old,0.142158026493981
Cambodia,Age,50-59 years old,0.130061684164032
Kiribati,Age,50-59 years old,0.142024286892472
Republic of Korea (the),Age,50-59 years old,0.195213580844172
Kuwait,Age,50-59 years old,0.174732235524406
"Lao People's Democratic Republic (the)",Age,50-59 years old,0.116442712150154
Lebanon,Age,50-59 years old,0.151896511073504
Liberia,Age,50-59 years old,0.106117809806891
Libya,Age,50-59 years old,0.133588177041338
Saint Lucia,Age,50-59 years old,0.163366717220075
Sri Lanka,Age,50-59 years old,0.166695701841509
Lesotho,Age,50-59 years old,0.106568807061638
Lithuania,Age,50-59 years old,0.188738043938261
Luxembourg,Age,50-59 years old,0.178678046765915
Latvia,Age,50-59 years old,0.173705028428009
"China, Macao Special Administrative Region",Age,50-59 years old,0.18327044326003
Morocco,Age,50-59 years old,0.148375221366884
Republic of Moldova (the),Age,50-59 years old,0.1591956846684
Madagascar,Age,50-59 years old,0.104375067362697
Maldives,Age,50-59 years old,8.40845130783846e-02
Mexico,Age,50-59 years old,0.143540578286903
North Macedonia,Age,50-59 years old,0.169173274125399
Mali,Age,50-59 years old,9.11084987702613e-02
Malta,Age,50-59 years old,0.145363353748819
Myanmar,Age,50-59 years old,0.148661321791288
Montenegro,Age,50-59 years old,0.163463006115617
Mongolia,Age,50-59 years old,0.147786811881598
Mozambique,Age,50-59 years old,9.15888908076653e-02
Mauritania,Age,50-59 years old,0.106215484440416
Martinique,Age,50-59 years old,0.20787608539488
Mauritius,Age,50-59 years old,0.174981364153913
Malawi,Age,50-59 years old,8.85576708926894e-02
Malaysia,Age,50-59 years old,0.135581222885152
Mayotte,Age,50-59 years old,0.109208837240727
Namibia,Age,50-59 years old,0.103232868283913
New Caledonia,Age,50-59 years old,0.166653156782995
Niger (the),Age,50-59 years old,9.94068916793911e-02
Nigeria,Age,50-59 years old,0.104012079361581
Nicaragua,Age,50-59 years old,0.117839686274947
Netherlands (the),Age,50-59 years old,0.182393976950366
Norway,Age,50-59 years old,0.165894093933886
Nepal,Age,50-59 years old,0.122401864356966
New Zealand,Age,50-59 years old,0.16974907719387
Oman,Age,50-59 years old,8.24494918488384e-02
Pakistan,Age,50-59 years old,0.115752950688869
Panama,Age,50-59 years old,0.146461151071349
Peru,Age,50-59 years old,0.141837960947938
Philippines (the),Age,50-59 years old,0.133167847613168
Papua New Guinea,Age,50-59 years old,0.120084619783606
Poland,Age,50-59 years old,0.146988167743177
Puerto Rico,Age,50-59 years old,0.180537938405503
"Democratic People's Republic of Korea (the)",Age,50-59 years old,0.185274932943185
Portugal,Age,50-59 years old,0.173146496559124
Paraguay,Age,50-59 years old,0.117242491091851
State of Palestine (the) *,Age,50-59 years old,0.105081494194537
French Polynesia,Age,50-59 years old,0.173381644861631
Qatar,Age,50-59 years old,0.104535789053728
R̩union,Age,50-59 years old,0.192323617091752
Romania,Age,50-59 years old,0.164167635967204
Russian Federation (the),Age,50-59 years old,0.164669534739346
Rwanda,Age,50-59 years old,0.103998516360721
Saudi Arabia,Age,50-59 years old,0.129371796043343
Sudan (the),Age,50-59 years old,0.108884896602999
Senegal,Age,50-59 years old,9.79797070375066e-02
Singapore,Age,50-59 years old,0.189870478917182
Solomon Islands,Age,50-59 years old,0.110318335967383
Sierra Leone,Age,50-59 years old,9.93461118102111e-02
El Salvador,Age,50-59 years old,0.128703413997783
Somalia,Age,50-59 years old,9.87358769687898e-02
Serbia,Age,50-59 years old,0.158208195986605
South Sudan,Age,50-59 years old,0.102179935860117
Sao Tome and Principe,Age,50-59 years old,0.114173404207799
Suriname,Age,50-59 years old,0.162214370790003
Slovakia,Age,50-59 years old,0.159271527640538
Slovenia,Age,50-59 years old,0.17628254650504
Sweden,Age,50-59 years old,0.162290798147404
Eswatini,Age,50-59 years old,8.00689264382124e-02
Seychelles,Age,50-59 years old,0.182664020382022
Syrian Arab Republic (the),Age,50-59 years old,0.115139830810613
Chad,Age,50-59 years old,8.57162759279338e-02
Togo,Age,50-59 years old,0.103322682739298
Thailand,Age,50-59 years old,0.191874913595704
Tajikistan,Age,50-59 years old,0.127648879527716
Turkmenistan,Age,50-59 years old,0.138039193242857
Timor-Leste,Age,50-59 years old,0.119680538063938
Tonga,Age,50-59 years old,0.140445176181944
Trinidad and Tobago,Age,50-59 years old,0.164509999605316
Tunisia,Age,50-59 years old,0.160652177709435
Turkey,Age,50-59 years old,0.148331034572328
United Republic of Tanzania (the),Age,50-59 years old,9.85249344788069e-02
Uganda,Age,50-59 years old,8.64649565655297e-02
Ukraine,Age,50-59 years old,0.166226986513599
Uruguay,Age,50-59 years old,0.149187735444185
United States of America (the),Age,50-59 years old,0.163566855193044
Uzbekistan,Age,50-59 years old,0.137584121600659
Saint Vincent and the Grenadines,Age,50-59 years old,0.167210089203322
Venezuela (Bolivarian Republic of),Age,50-59 years old,0.157507563278955
United States Virgin Islands,Age,50-59 years old,0.180171080851913
Viet Nam,Age,50-59 years old,0.156847993964144
Vanuatu,Age,50-59 years old,0.120462500952794
Samoa,Age,50-59 years old,0.146234917027001
Yemen,Age,50-59 years old,8.73754647771563e-02
South Africa,Age,50-59 years old,0.125150755161336
Zambia,Age,50-59 years old,8.48082837412661e-02
Zimbabwe,Age,50-59 years old,9.16341109513479e-02
Aruba,Age,60 or older,0.277600381270106
Afghanistan,Age,60 or older,8.30602555144371e-02
Angola,Age,60 or older,7.80214290284952e-02
Albania,Age,60 or older,0.268980902174162
United Arab Emirates (the),Age,60 or older,3.79028927344614e-02
Argentina,Age,60 or older,0.219266214435618
Armenia,Age,60 or older,0.243917420098463
Antigua and Barbuda,Age,60 or older,0.190672286326263
Australia,Age,60 or older,0.282342060029862
Austria,Age,60 or older,0.310663059030432
Azerbaijan,Age,60 or older,0.160020019401083
Burundi,Age,60 or older,8.42048235022682e-02
Belgium,Age,60 or older,0.321508883641283
Benin,Age,60 or older,9.87056418811686e-02
Burkina Faso,Age,60 or older,8.05112696022989e-02
Bangladesh,Age,60 or older,0.117796864302409
Bulgaria,Age,60 or older,0.341692628121327
Bahrain,Age,60 or older,6.75678407687809e-02
Bahamas (the),Age,60 or older,0.166328628487966
Bosnia and Herzegovina,Age,60 or older,0.306293073853548
Belarus,Age,60 or older,0.283165477081315
Belize,Age,60 or older,0.117815735150321
Bolivia (Plurinational State of),Age,60 or older,0.162235126433626
Brazil,Age,60 or older,0.187827435399515
Barbados,Age,60 or older,0.291984640702139
Brunei Darussalam,Age,60 or older,0.12992177681067
Bhutan,Age,60 or older,0.128543503144
Botswana,Age,60 or older,0.115682402291365
Central African Republic (the),Age,60 or older,9.16927583779534e-02
Canada,Age,60 or older,0.306823196410084
Switzerland,Age,60 or older,0.307828530809394
Chile,Age,60 or older,0.225991259031039
China,Age,60 or older,0.220038178870164
"C̫te d'Ivoire",Age,60 or older,9.05078517948802e-02
Cameroon,Age,60 or older,8.38695237888101e-02
Democratic Republic of the Congo (the),Age,60 or older,9.82811190591567e-02
Congo (the),Age,60 or older,8.65933206362943e-02
Colombia,Age,60 or older,0.180590823938828
Comoros (the),Age,60 or older,9.37266546156258e-02
Cabo Verde,Age,60 or older,0.113557082523839
Costa Rica,Age,60 or older,0.200772541540673
Cuba,Age,60 or older,0.26323027437009
Cura̤ao,Age,60 or older,0.315463820510207
Cyprus,Age,60 or older,0.247668719223311
Czechia,Age,60 or older,0.321186385283942
Germany,Age,60 or older,0.344352558757551
Djibouti,Age,60 or older,0.112376038254359
Denmark,Age,60 or older,0.325644101033853
Dominican Republic (the),Age,60 or older,0.165226958488228
Algeria,Age,60 or older,0.152110874122782
Ecuador,Age,60 or older,0.163428571428571
Egypt,Age,60 or older,0.135012182512916
Eritrea,Age,60 or older,0.123407393629791
Western Sahara,Age,60 or older,9.34432975465036e-02
Spain,Age,60 or older,0.31761563116344
Estonia,Age,60 or older,0.333077899755888
Ethiopia,Age,60 or older,0.100082802414392
Finland,Age,60 or older,0.358250554214933
Fiji,Age,60 or older,0.146141993599621
France,Age,60 or older,0.340885079864912
Micronesia (Federated States of),Age,60 or older,0.124865089248651
Gabon,Age,60 or older,9.32865062321746e-02
United Kingdom of Great Britain and Northern Ireland (the),Age,60 or older,0.308605703607894
Georgia,Age,60 or older,0.28108924491426
Ghana,Age,60 or older,9.32645195683704e-02
Guinea,Age,60 or older,9.43791987296934e-02
Guadeloupe,Age,60 or older,0.338597810375114
Gambia (the),Age,60 or older,7.95918793862307e-02
Guinea-Bissau,Age,60 or older,8.86545579244859e-02
Equatorial Guinea,Age,60 or older,6.51610550984107e-02
Greece,Age,60 or older,0.345434354411935
Grenada,Age,60 or older,0.205895379164411
Guatemala,Age,60 or older,0.12031858286093
French Guiana,Age,60 or older,0.142186686141107
Guam,Age,60 or older,0.213557348415537
Guyana,Age,60 or older,0.16274539730993
"China, Hong Kong Special Administrative Region",Age,60 or older,0.305524025106944
Honduras,Age,60 or older,0.116767922721699
Croatia,Age,60 or older,0.342367856430167
Haiti,Age,60 or older,0.126062086149561
Hungary,Age,60 or older,0.323915813656502
Indonesia,Age,60 or older,0.145947948920086
India,Age,60 or older,0.148039712917744
Ireland,Age,60 or older,0.260832281141951
Iran (Islamic Republic of),Age,60 or older,0.144478940070661
Iraq,Age,60 or older,9.12268625406914e-02
Iceland,Age,60 or older,0.281417354693661
Israel,Age,60 or older,0.24391705215105
Italy,Age,60 or older,0.35456428098241
Jamaica,Age,60 or older,0.184615196678402
Jordan,Age,60 or older,9.98804127089217e-02
Japan,Age,60 or older,0.404435263959535
Kazakhstan,Age,60 or older,0.182127468795379
Kenya,Age,60 or older,7.63063042754139e-02
Kyrgyzstan,Age,60 or older,0.129221789112681
Cambodia,Age,60 or older,0.118568035746894
Kiribati,Age,60 or older,0.114637545146887
Republic of Korea (the),Age,60 or older,0.2733694233736
Kuwait,Age,60 or older,8.68230553571884e-02
"Lao People's Democratic Republic (the)",Age,60 or older,0.109271641798966
Lebanon,Age,60 or older,0.160231162992964
Liberia,Age,60 or older,9.91348400725328e-02
Libya,Age,60 or older,0.102792638249284
Saint Lucia,Age,60 or older,0.19098704947478
Sri Lanka,Age,60 or older,0.229618905826727
Lesotho,Age,60 or older,0.122025224461368
Lithuania,Age,60 or older,0.335626898620136
Luxembourg,Age,60 or older,0.245558418061319
Latvia,Age,60 or older,0.341921666356607
"China, Macao Special Administrative Region",Age,60 or older,0.225447574332019
Morocco,Age,60 or older,0.173387757101456
Republic of Moldova (the),Age,60 or older,0.232855026711106
Madagascar,Age,60 or older,9.40798103066452e-02
