Indicator,Country,Industry,Information and communication technologies,Sex,Measure,Time,Value,Flags
ICT specialists within and outside information industries,Finland,Total economy,ICT-intensive,Total,Share of jobs,2017,15.22048,
ICT specialists within and outside information industries,Finland,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Finland,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Finland,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Finland,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Finland,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Finland,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Finland,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,France,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,2.510097,
ICT specialists within and outside information industries,France,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,2.529102,
ICT specialists within and outside information industries,France,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,2.781225,
ICT specialists within and outside information industries,France,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,2.789522,
ICT specialists within and outside information industries,France,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,2.925503,
ICT specialists within and outside information industries,France,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,3.107565,
ICT specialists within and outside information industries,France,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,3.240781,
ICT specialists within and outside information industries,France,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,7.36316,
ICT specialists within and outside information industries,France,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,7.343873,
ICT specialists within and outside information industries,France,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,7.895486,
ICT specialists within and outside information industries,France,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,8.04296,
ICT specialists within and outside information industries,France,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,8.229239,
ICT specialists within and outside information industries,France,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,8.704273,
ICT specialists within and outside information industries,France,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,8.767568,
ICT specialists within and outside information industries,France,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,90.12635,
ICT specialists within and outside information industries,France,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,90.12663,
ICT specialists within and outside information industries,France,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,89.32289,
ICT specialists within and outside information industries,France,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,89.16752,
ICT specialists within and outside information industries,France,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,88.84526,
ICT specialists within and outside information industries,France,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,88.18816,
ICT specialists within and outside information industries,France,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,87.99165,
ICT specialists within and outside information industries,France,Total economy,ICT-intensive,Total,Share of jobs,2011,9.873256,
ICT specialists within and outside information industries,France,Total economy,ICT-intensive,Total,Share of jobs,2012,9.872974,
ICT specialists within and outside information industries,France,Total economy,ICT-intensive,Total,Share of jobs,2013,10.67671,
ICT specialists within and outside information industries,France,Total economy,ICT-intensive,Total,Share of jobs,2014,10.83248,
ICT specialists within and outside information industries,France,Total economy,ICT-intensive,Total,Share of jobs,2015,11.15474,
ICT specialists within and outside information industries,France,Total economy,ICT-intensive,Total,Share of jobs,2016,11.81184,
ICT specialists within and outside information industries,France,Total economy,ICT-intensive,Total,Share of jobs,2017,12.00835,
ICT specialists within and outside information industries,France,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,France,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,France,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,France,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,France,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,France,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,France,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Germany,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,2.861193,
ICT specialists within and outside information industries,Germany,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.351882,
ICT specialists within and outside information industries,Germany,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.468374,
ICT specialists within and outside information industries,Germany,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.481333,
ICT specialists within and outside information industries,Germany,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.534144,
ICT specialists within and outside information industries,Germany,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,3.59568,
ICT specialists within and outside information industries,Germany,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,3.602668,
ICT specialists within and outside information industries,Germany,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,6.74582,
ICT specialists within and outside information industries,Germany,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,6.227722,
ICT specialists within and outside information industries,Germany,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,6.260163,
ICT specialists within and outside information industries,Germany,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,6.391788,
ICT specialists within and outside information industries,Germany,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,6.591757,
ICT specialists within and outside information industries,Germany,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,6.646037,
ICT specialists within and outside information industries,Germany,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,6.839237,
ICT specialists within and outside information industries,Germany,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,90.39299,
ICT specialists within and outside information industries,Germany,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,90.4204,
ICT specialists within and outside information industries,Germany,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,90.27172,
ICT specialists within and outside information industries,Germany,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,90.12662,
ICT specialists within and outside information industries,Germany,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,89.87384,
ICT specialists within and outside information industries,Germany,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,89.75828,
ICT specialists within and outside information industries,Germany,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,89.55812,
ICT specialists within and outside information industries,Germany,Total economy,ICT-intensive,Total,Share of jobs,2011,9.607013,
ICT specialists within and outside information industries,Germany,Total economy,ICT-intensive,Total,Share of jobs,2012,9.579605,
ICT specialists within and outside information industries,Germany,Total economy,ICT-intensive,Total,Share of jobs,2013,9.728537,
ICT specialists within and outside information industries,Germany,Total economy,ICT-intensive,Total,Share of jobs,2014,9.87312,
ICT specialists within and outside information industries,Germany,Total economy,ICT-intensive,Total,Share of jobs,2015,10.1259,
ICT specialists within and outside information industries,Germany,Total economy,ICT-intensive,Total,Share of jobs,2016,10.24172,
ICT specialists within and outside information industries,Germany,Total economy,ICT-intensive,Total,Share of jobs,2017,10.4419,
ICT specialists within and outside information industries,Germany,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Germany,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Germany,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Germany,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Germany,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Germany,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Germany,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Greece,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,1.636995,
ICT specialists within and outside information industries,Greece,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,1.695009,
ICT specialists within and outside information industries,Greece,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,1.91746,
ICT specialists within and outside information industries,Greece,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,1.722155,
ICT specialists within and outside information industries,Greece,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,1.661073,
ICT specialists within and outside information industries,Greece,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,1.856237,
ICT specialists within and outside information industries,Greece,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,2.001242,
ICT specialists within and outside information industries,Greece,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,4.760109,
ICT specialists within and outside information industries,Greece,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,5.508778,
ICT specialists within and outside information industries,Greece,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,5.526795,
ICT specialists within and outside information industries,Greece,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,5.195216,
ICT specialists within and outside information industries,Greece,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,4.343044,
ICT specialists within and outside information industries,Greece,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,4.629297,
ICT specialists within and outside information industries,Greece,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,4.674006,
ICT specialists within and outside information industries,Greece,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,93.6029,
ICT specialists within and outside information industries,Greece,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,92.79346,
ICT specialists within and outside information industries,Greece,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,92.55285,
ICT specialists within and outside information industries,Greece,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,93.0855,
ICT specialists within and outside information industries,Greece,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,93.99588,
ICT specialists within and outside information industries,Greece,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,93.51447,
ICT specialists within and outside information industries,Greece,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,93.32475,
ICT specialists within and outside information industries,Greece,Total economy,ICT-intensive,Total,Share of jobs,2011,6.397104,
ICT specialists within and outside information industries,Greece,Total economy,ICT-intensive,Total,Share of jobs,2012,7.203786,
ICT specialists within and outside information industries,Greece,Total economy,ICT-intensive,Total,Share of jobs,2013,7.444255,
ICT specialists within and outside information industries,Greece,Total economy,ICT-intensive,Total,Share of jobs,2014,6.917371,
ICT specialists within and outside information industries,Greece,Total economy,ICT-intensive,Total,Share of jobs,2015,6.004117,
ICT specialists within and outside information industries,Greece,Total economy,ICT-intensive,Total,Share of jobs,2016,6.485534,
ICT specialists within and outside information industries,Greece,Total economy,ICT-intensive,Total,Share of jobs,2017,6.675247,
ICT specialists within and outside information industries,Greece,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Greece,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Greece,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Greece,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Greece,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Greece,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Greece,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Hungary,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,2.774942,
ICT specialists within and outside information industries,Hungary,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.168531,
ICT specialists within and outside information industries,Hungary,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.412598,
ICT specialists within and outside information industries,Hungary,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,3.301829,
ICT specialists within and outside information industries,Hungary,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,3.447945,
ICT specialists within and outside information industries,Hungary,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,3.478459,
ICT specialists within and outside information industries,Hungary,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,3.352792,
ICT specialists within and outside information industries,Hungary,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,5.447805,
ICT specialists within and outside information industries,Hungary,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,5.355635,
ICT specialists within and outside information industries,Hungary,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,5.266706,
ICT specialists within and outside information industries,Hungary,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,4.881179,
ICT specialists within and outside information industries,Hungary,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,4.923579,
ICT specialists within and outside information industries,Hungary,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,4.905047,
ICT specialists within and outside information industries,Hungary,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,5.016974,
ICT specialists within and outside information industries,Hungary,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,91.77725,
ICT specialists within and outside information industries,Hungary,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,91.47583,
ICT specialists within and outside information industries,Hungary,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,91.3181,
ICT specialists within and outside information industries,Hungary,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,91.81452,
ICT specialists within and outside information industries,Hungary,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,91.62847,
ICT specialists within and outside information industries,Hungary,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,91.61649,
ICT specialists within and outside information industries,Hungary,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,91.63023,
ICT specialists within and outside information industries,Hungary,Total economy,ICT-intensive,Total,Share of jobs,2011,8.222748,
ICT specialists within and outside information industries,Hungary,Total economy,ICT-intensive,Total,Share of jobs,2012,8.524166,
ICT specialists within and outside information industries,Hungary,Total economy,ICT-intensive,Total,Share of jobs,2013,8.679304,
ICT specialists within and outside information industries,Hungary,Total economy,ICT-intensive,Total,Share of jobs,2014,8.183007,
ICT specialists within and outside information industries,Hungary,Total economy,ICT-intensive,Total,Share of jobs,2015,8.371524,
ICT specialists within and outside information industries,Hungary,Total economy,ICT-intensive,Total,Share of jobs,2016,8.383506,
ICT specialists within and outside information industries,Hungary,Total economy,ICT-intensive,Total,Share of jobs,2017,8.369766,
ICT specialists within and outside information industries,Hungary,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Hungary,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Hungary,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Hungary,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Hungary,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Hungary,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Hungary,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Iceland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,3.465658,
ICT specialists within and outside information industries,Iceland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,3.1875,
ICT specialists within and outside information industries,Iceland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,3.825137,
ICT specialists within and outside information industries,Iceland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,4.159239,
ICT specialists within and outside information industries,Iceland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,4.385459,
ICT specialists within and outside information industries,Iceland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,4.283914,
ICT specialists within and outside information industries,Iceland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,4.456365,
ICT specialists within and outside information industries,Iceland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,7.876497,
ICT specialists within and outside information industries,Iceland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,7.5,
ICT specialists within and outside information industries,Iceland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,9.168185,
ICT specialists within and outside information industries,Iceland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,9.447415,
ICT specialists within and outside information industries,Iceland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,9.463359,
ICT specialists within and outside information industries,Iceland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,9.691306,
ICT specialists within and outside information industries,Iceland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,9.820507,
ICT specialists within and outside information industries,Iceland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,88.65784,
ICT specialists within and outside information industries,Iceland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,89.3125,
ICT specialists within and outside information industries,Iceland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,87.0674,
ICT specialists within and outside information industries,Iceland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,86.39334,
ICT specialists within and outside information industries,Iceland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,86.09348,
ICT specialists within and outside information industries,Iceland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2016,86.01953,
ICT specialists within and outside information industries,Iceland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2017,85.72313,
ICT specialists within and outside information industries,Iceland,Total economy,ICT-intensive,Total,Share of jobs,2011,11.34216,
ICT specialists within and outside information industries,Iceland,Total economy,ICT-intensive,Total,Share of jobs,2012,10.6875,
ICT specialists within and outside information industries,Iceland,Total economy,ICT-intensive,Total,Share of jobs,2013,12.99332,
ICT specialists within and outside information industries,Iceland,Total economy,ICT-intensive,Total,Share of jobs,2014,13.60665,
ICT specialists within and outside information industries,Iceland,Total economy,ICT-intensive,Total,Share of jobs,2015,13.84882,
ICT specialists within and outside information industries,Iceland,Total economy,ICT-intensive,Total,Share of jobs,2016,13.97522,
ICT specialists within and outside information industries,Iceland,Total economy,ICT-intensive,Total,Share of jobs,2017,14.27687,
ICT specialists within and outside information industries,Iceland,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Iceland,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Iceland,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Iceland,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Iceland,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Iceland,Total economy,Total,Total,Share of jobs,2016,100,
ICT specialists within and outside information industries,Iceland,Total economy,Total,Total,Share of jobs,2017,100,
ICT specialists within and outside information industries,Ireland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,4.255674,
ICT specialists within and outside information industries,Ireland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,4.375595,
ICT specialists within and outside information industries,Ireland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,4.232078,
ICT specialists within and outside information industries,Ireland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,4.357947,
ICT specialists within and outside information industries,Ireland,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,4.162039,
ICT specialists within and outside information industries,Ireland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,9.534936,
ICT specialists within and outside information industries,Ireland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,10.15183,
ICT specialists within and outside information industries,Ireland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,10.20968,
ICT specialists within and outside information industries,Ireland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,10.08554,
ICT specialists within and outside information industries,Ireland,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,10.1063,
ICT specialists within and outside information industries,Ireland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,86.20939,
ICT specialists within and outside information industries,Ireland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,85.47258,
ICT specialists within and outside information industries,Ireland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2013,85.55824,
ICT specialists within and outside information industries,Ireland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2014,85.55652,
ICT specialists within and outside information industries,Ireland,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2015,85.73166,
ICT specialists within and outside information industries,Ireland,Total economy,ICT-intensive,Total,Share of jobs,2011,13.79061,
ICT specialists within and outside information industries,Ireland,Total economy,ICT-intensive,Total,Share of jobs,2012,14.52743,
ICT specialists within and outside information industries,Ireland,Total economy,ICT-intensive,Total,Share of jobs,2013,14.44176,
ICT specialists within and outside information industries,Ireland,Total economy,ICT-intensive,Total,Share of jobs,2014,14.44348,
ICT specialists within and outside information industries,Ireland,Total economy,ICT-intensive,Total,Share of jobs,2015,14.26834,
ICT specialists within and outside information industries,Ireland,Total economy,Total,Total,Share of jobs,2011,100,
ICT specialists within and outside information industries,Ireland,Total economy,Total,Total,Share of jobs,2012,100,
ICT specialists within and outside information industries,Ireland,Total economy,Total,Total,Share of jobs,2013,100,
ICT specialists within and outside information industries,Ireland,Total economy,Total,Total,Share of jobs,2014,100,
ICT specialists within and outside information industries,Ireland,Total economy,Total,Total,Share of jobs,2015,100,
ICT specialists within and outside information industries,Italy,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2011,2.521262,
ICT specialists within and outside information industries,Italy,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2012,2.61603,
ICT specialists within and outside information industries,Italy,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2013,2.711802,
ICT specialists within and outside information industries,Italy,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2014,2.742102,
ICT specialists within and outside information industries,Italy,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2015,2.721327,
ICT specialists within and outside information industries,Italy,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2016,2.765465,
ICT specialists within and outside information industries,Italy,Total economy,Specialist (ISCO-08: 133+215+251+252+351+352+742),Total,Share of jobs,2017,2.841468,
ICT specialists within and outside information industries,Italy,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2011,3.728963,
ICT specialists within and outside information industries,Italy,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2012,3.934209,
ICT specialists within and outside information industries,Italy,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2013,4.111397,
ICT specialists within and outside information industries,Italy,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2014,4.059009,
ICT specialists within and outside information industries,Italy,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2015,4.247547,
ICT specialists within and outside information industries,Italy,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2016,4.415797,
ICT specialists within and outside information industries,Italy,Total economy,"Other ICT-intensive (ISCO-08: 121+122,134+,211+,216+,231+,241+,242+243)",Total,Share of jobs,2017,4.413464,
ICT specialists within and outside information industries,Italy,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2011,93.74977,
ICT specialists within and outside information industries,Italy,Total economy,Non-ICT (rest of ISCO-08 occupations),Total,Share of jobs,2012,93.44976,
