IndCode,SDG,Global,OECD,Spillover,Trend_Global,Trend_OECD,Indicator,Years for Trend Rating,Reference Year,Optimum (= 100),Green threshold,Red threshold,Lower Bound (=0),Justification for Optimum,Dwldlink,Source,Description,Imputation,data_country,data_year
sdg10_palma,10,yes,yes,,,yes,Palma ratio,2015 -2019,2019,0.9,1,1.3,2.5,Average of best performers,http://stats.oecd.org/Index.aspx?DataSetCode=IDD
http://hdr.undp.org/en/data,OECD & UNDP,The share of all income received by the 10% people with highest disposable income divided by the share of all income received by the 40% people with the lowest disposable income.,,,
sdg10_elder,10,no,yes,,,yes,Elderly poverty rate (% of population aged 66 or over),2015 -2019,2019,3.2,5,25,45.7,Average of best performers,https://data.oecd.org/inequality/poverty-rate.htm,OECD ,The percentage of people of 66 years of age or more whose income falls below half the median household income of the total population.,,,
sdg11_slums,11,yes,yes,,yes,yes,Proportion of urban population living in slums (%),2014 -2018,2018,0,5,25,90,Leave no one behind,https://data.unhabitat.org/pages/housing-slums-and-informal-settlements,UN Habitat,"Population living in slums is the proportion of the urban population living in slum households. A slum household is defined as a group of individuals living under the same roof lacking one or more of the following conditions: access to improved water, access to improved sanitation, sufficient living area, housing durability, and security of tenur",We assumed 0% population living in slums for high-income OECD members for which no data was reported.,,
sdg11_pm25,11,yes,yes,,yes,yes,Annual mean concentration of particulate matter of less than 2.5 microns in diameter (PM2.5) (μg/m³),2015 -2019,2019,6.3,10,25,87,Average of best performers,http://www.healthdata.org/gbd/2019,IHME ,"Air pollution measured as the population-weighted mean annual concentration of PM2.5 for the urban population in a country. PM2.5 is suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and can cause severe health damage.",,,
sdg11_pipedwat,11,yes,yes,,yes,yes,"Access to improved water source, piped (% of urban population)",2015 -2020,2020,100,98,75,6.1,Leave no one behind,https://washdata.org/data/household#!/table?geo0=region&geo1=sdg,WHO and UNICEF ,"The percentage of the urban population with access to improved drinking water piped on premises. An ""improved"" drinking-water source is one that, by the nature of its construction and when properly used, adequately protects the source from outside contamination, particularly fecal matter.",,,
sdg11_transport,11,yes,yes,,yes,yes,Satisfaction with public transport (%),2015 -2021,2021,82.6,72,43,21,Average of best performers,https://ga.gallup.com/,Gallup ,"The percentage of the surveyed population that responded ""satisfied"" to the question ""In the city or area where you live, are you satisfied or dissatisfied with the public transportation systems?"".",,,
sdg11_rentover,11,no,yes,,,yes,Population with rent overburden (%),2015 -2019,2019,4.6,7,17,25.6,Average of best performers,http://www.oecd.org/housing/data/affordable-housing-database/,OECD ,Percentage of the population living in households where the total housing costs represent more than 40 % of disposable income.,,,
sdg12_msw,12,yes,no,,,,Municipal solid waste (kg/capita/day),,2019,0.1,1,2,3.7,Average of best performers,https://openknowledge.worldbank.org/handle/10986/30317
https://datacatalog.worldbank.org/search/dataset/0039597,World Bank ,The amount of waste collected by or on behalf of municipal authorities and disposed of through the waste management system. Waste from agriculture and from industries are not included.,,,
sdg12_ewaste,12,yes,yes,,,,Electronic waste (kg/capita),,2019,0.2,5,10,23.5,Average of best performers,https://www.itu.int/en/ITU-D/Environment/Documents/Toolbox/GEM_2020_def.pdf,UNU-IAS ,"Waste from electrical and electronic equipment, estimated based on figures for domestic production, imports and exports of electronic products, as well as product lifespan data.",,,
sdg12_so2prod,12,yes,yes,,,,Production-based SO₂ emissions (kg/capita),,2018,0,30,100,525,Average of best performers,"Data provided by Malik, A.",Lenzen et al. (2020),"SO₂ emissions associated with the production of goods and services, which are then either exported or consumed domestically. ",,,
sdg12_so2import,12,yes,yes,yes,,,SO₂ emissions embodied in imports (kg/capita) ,,2018,0,5,10,30,Technical Optimum,"Data provided by Malik, A.",Lenzen et al. (2020),Emissions of SO₂ embodied in imported goods and services. SO₂ emissions have severe health impacts and are a significant cause of premature mortality worldwide.,,,
sdg12_nprod,12,yes,yes,,yes,yes,Production-based nitrogen emissions (kg/capita),2012 -2015,2015,2,20,50,100,Average of best performers,https://www.nature.com/ngeo/journal/v9/n2/full/ngeo2635.html,Oita et al. (2016),"Reactive nitrogen emitted during the production of commodities, which are then either exported or consumed domestically. Reactive nitrogen corresponds to emissions of ammonia, nitrogen oxides and nitrous oxide to the atmosphere, and of reactive nitrogen potentially exportable to water bodies, all of which can be harmful to human health and the environment.",,,
sdg12_nimport,12,yes,yes,yes,yes,yes,Nitrogen emissions embodied in imports (kg/capita),2012 -2015,2015,0,5,15,45,Technical Optimum,https://www.nature.com/ngeo/journal/v9/n2/full/ngeo2635.html,Oita et al. (2016),"Emissions of reactive nitrogen embodied in imported goods and services. Reactive nitrogen corresponds here to emissions of ammonia, nitrogen oxides and nitrous oxide to the atmosphere, and of reactive nitrogen potentially exportable to water bodies, all of which can be harmful to human health and the environment.",,,
sdg12_explastic,12,yes,yes,yes,yes,yes,Exports of plastic waste (kg/capita),2016 -2021,2021,0,1,5,12,Technical Optimum,https://comtrade.un.org/data/,UN Comtrade ,The average annual amount of plastic waste exported over the last 5 years expressed per capita.,,,
sdg12_mswrecycl,12,no,yes,,,yes,Non-recycled municipal solid waste (kg/capita/day),2015 -2019,2019,0.6,0.8,1,1.5,Average of best performers,https://stats.oecd.org/Index.aspx?DataSetCode=MUNW,OECD ,"The amount of municipal solid waste (MSW), including household waste, that is neither recycled nor composted.",,,
sdg13_co2gcp,13,yes,yes,,yes,yes,CO₂ emissions from fossil fuel combustion and cement production (tCO2/capita),2015 -2020,2020,0,2,4,20,Technical Optimum,https://www.icos-cp.eu/science-and-impact/global-carbon-budget/2021,Global Carbon Project,Emissions from the combustion and oxidation of fossil fuels and from cement production. The indicator excludes emissions from fuels used for international aviation and maritime transport.,,,
sdg13_co2import,13,yes,yes,yes,yes,yes,CO₂ emissions embodied in imports (tCO₂/capita),2015 -2018,2018,0,0.5,1,3.2,Technical Optimum,"Data provided by Malik, A.",Lenzen et al. (2020),CO₂ emissions embodied in imported goods and services.,,,
sdg13_co2export,13,yes,yes,,,,CO₂ emissions embodied in fossil fuel exports (kg/capita),,2021,0,100,8000,44000,Technical Optimum,https://comtrade.un.org/data/,UN Comtrade ,"CO₂ emissions embodied in the exports of coal, gas, and oil. Calculated using a 5-year average of fossil fuel exports and converting exports into their equivalent CO₂ emissions. Exports for each fossil fuel are capped at the country's level of production.","We assumed a value of 0 for countries with unreported export data and no production across all three fossil fuel types (coal, gas, oil). ",,
sdg13_ecr,13,no,yes,,,yes,"Carbon Pricing Score at EUR60/tCO₂ (%, worst 0-100 best)",2015 -2018,2018,100,70,30,0,Technical Optimum,https://stats.oecd.org/Index.aspx?DataSetCode=ECR&_ga=2.210449308.885305165.1646569249-1295670724.1646080129#
http://www.oecd-ilibrary.org/taxation/effective-carbon-rates_9789264260115-en,OECD ,"The Carbon Pricing Score (CPS) measures the extent to which countries have attained the goal of pricing all energy related carbon emissions at certain benchmark values for carbon costs. The more progress that a country has made towards a specified benchmark value, the higher the CPS. For example, a CPS of 100% against a EUR 60 per tonne of CO2 benchmark means that the country (or the group of countries) prices all carbon emissions in its (their) territory from energy use at EUR 60 or more.",,,
sdg14_cpma,14,yes,yes,,yes,yes,Mean area that is protected in marine sites important to biodiversity (%) ,2015 -2020,2020,100,85,65,0,Technical Optimum,https://unstats.un.org/sdgs/indicators/database/?indicator=14.5.1,Birdlife International et al. ,The mean percentage area of marine Key Biodiversity Areas (sites that are important for the global persistence of marine biodiversity) that are protected.,,,
sdg14_cleanwat,14,yes,yes,,yes,yes,Ocean Health Index: Clean Waters score (worst 0-100 best),2015 -2020,2020,100,80,70,28.6,Technical Optimum,http://ohi-science.org/ohi-global/download ,Ocean Health Index ,"The clean waters subgoal of the Ocean Health Index measures to what degree marine waters under national jurisdictions have been contaminated by chemicals, excessive nutrients (eutrophication), human pathogens, and trash.",,,
sdg14_fishstocks,14,yes,yes,,yes,yes,Fish caught from overexploited or collapsed stocks (% of total catch),2015 -2018,2018,0,25,50,90.7,Technical Optimum,http://epi.yale.edu/ ,Sea around Us ,"The percentage of a country’s total catch, within its exclusive economic zone (EEZ), that is comprised of species that are overexploited or collapsed, weighted by the quality of fish catch data.",,,
sdg14_trawl,14,yes,yes,,yes,yes,Fish caught by trawling or dredging (%),2015 -2018,2018,1,7,60,90,Average of best performers,http://www.seaaroundus.org/data/#/search,Sea Around Us ,"The percentage of fish caught by trawling, a method of fishing in which industrial fishing vessels drag large nets (trawls) along the seabed.",,,
sdg14_discard,14,yes,yes,,yes,yes,Fish caught that are then discarded (%),2015 -2018,2018,0,5,15,20,Technical Optimum,http://www.seaaroundus.org/data/#/search,Sea around Us ,The percentage of fish that are caught only to be later discarded.,,,
sdg14_biomar,14,yes,yes,yes,,,Marine biodiversity threats embodied in imports (per million population),,2018,0,0.2,1,2,Technical Optimum,https://www.nature.com/articles/nature11145,Lenzen et al. (2012),Threats to marine species embodied in imports of goods and services.,,,
sdg15_cpta,15,yes,yes,,yes,yes,Mean area that is protected in terrestrial sites important to biodiversity (%),2015 -2020,2020,100,85,65,0,Technical Optimum,https://unstats.un.org/sdgs/indicators/database/?indicator=15.1.2 ,Birdlife International et al. ,The mean percentage area of terrestrial Key Biodiversity Areas (sites that are important for the global persistence of biodiversity) that are protected.,,,
sdg15_cpfa,15,yes,yes,,yes,yes,Mean area that is protected in freshwater sites important to biodiversity (%),2015 -2020,2020,100,85,65,0,Technical Optimum,https://unstats.un.org/sdgs/indicators/database/?indicator=15.1.2 ,Birdlife International et al. ,The mean percentage area of freshwater Key Biodiversity Areas (sites that are important for the global persistence of biodiversity) that are protected.,,,
sdg15_redlist,15,yes,yes,,yes,yes,Red List Index of species survival (worst 0-1 best) ,2015 -2021,2021,1,0.9,0.8,0.6,Technical Optimum,http://unstats.un.org/sdgs/indicators/database/?indicator=15.5.1,IUCN and Birdlife International ,The change in aggregate extinction risk across groups of species. The index is based on genuine changes in the number of species in each category of extinction risk on The IUCN Red List of Threatened Species.,,,
sdg15_forchg,15,yes,yes,,yes,yes,"Permanent deforestation (% of forest area, 3-year average)",2017 -2020,2020,0,0.05,0.5,1.5,SDG Target,http://science.sciencemag.org/content/361/6407/1108,Curtis et al. (2018),"The mean annual percentage of permanent deforestation over the last 3-year period. Permanent deforestation refers to tree cover removal for urbanization, commodity production and certain types of small-scale agriculture whereby the previous tree cover does not return. It does not include temporary forest loss due to cuttings within the forestry sector or wildfires. Since data on tree cover gains are not available, the annual net loss cannot be calculated, thus the indicator is an estimate for gross permanent deforestation.",,,
sdg15_biofrwter,15,yes,yes,yes,,,Terrestrial and freshwater biodiversity threats embodied in imports (per million population),,2018,0,1,3,10,Technical Optimum,https://www.nature.com/articles/nature11145,Lenzen et al. (2012),Threats to terrestrial and freshwater species embodied in imports of goods and services.,,,
sdg16_homicides,16,yes,yes,,yes,yes,"Homicides (per 100,000 population)",2015 -2020,2020,0.3,1.5,4,38,Average of best performers,https://dataunodc.un.org/content/homicide-country-data,UNODC ,"The number of intentional homicides per 100,000 people. Intentional homicides are estimates of unlawful homicides purposely inflicted as a result of domestic disputes, interpersonal violence, violent conflicts over land resources, intergang violence over turf or control, and predatory violence and killing by armed groups. Intentional homicide does not include all intentional killing, such as killing in armed conflict.",,,
sdg16_detain,16,yes,yes,,yes,yes,Unsentenced detainees (% of prison population),2015 -2019,2019,7,30,50,75,Average of best performers,https://dataunodc.un.org/data/Prison/Persons%20held%20by%20status,UNODC ,"Unsentenced prisoners as a percentage of overall prison population. Persons held unsentenced or pre-trial refers to persons held in prisons, penal institutions or correctional institutions who are untried, pre-trial or awaiting a first instance decision on their case from a competent authority regarding their conviction or acquittal.",,,
sdg16_safe,16,yes,yes,,yes,yes,Population who feel safe walking alone at night in the city or area where they live (%),2015 -2021,2021,90,70,50,33,Average of best performers,https://ga.gallup.com/,Gallup ,"The percentage of the surveyed population that responded ""Yes"" to the question ""Do you feel safe walking alone at night in the city or area where you live?""",,,
sdg16_prs,16,yes,yes,,yes,yes,Property Rights (worst 1-7 best),2017 -2020,2020,6.3,4.5,3,2.5,Average of best performers,https://reports.weforum.org/global-competitiveness-report-2019/downloads/,World Economic Forum ,"Survey-based assessment of protection of property rights, on a scale from 1 (worst) to 7 (best). The indicator reports respondents' qualitative assessment based on answers to several questions on the protection of property rights and intellectual property rights protection.",,,
sdg16_u5reg,16,yes,yes,,,,Birth registrations with civil authority (% of children under age 5),,2020,100,98,75,11,Leave no one behind,http://data.unicef.org/child-protection/birth-registration.html,UNICEF ,The percentage of children under the age of five whose births are reported as being registered with the relevant national civil authorities.,,,
sdg16_cpi,16,yes,yes,,yes,yes,Corruption Perceptions Index (worst 0-100 best),2015 -2021,2021,88.6,60,40,13,Average of best performers,https://www.transparency.org/cpi2019?/news/feature/cpi-2019,Transparency International ,"The perceived levels of public sector corruption, on a scale from 0 (highest level of perceived corruption) to 100 (lowest level of perceived corruption). The CPI aggregates data from a number of different sources that provide perceptions of business people and country experts.",,,
sdg16_clabor,16,yes,yes,,,,Children involved in child labor (% of population aged 5 to 14),,2019,0,2,10,39.3,Leave no one behind,https://data.unicef.org/topic/child-protection/child-labour/,UNICEF ,"The percentage of children, between the age of 5-14 years old, involved in child labor at the time of the survey. A child is considered to be involved in child labor under the following conditions: (a) children 5-11 years old who, during the reference week, did at least one hour of economic activity or at least 28 hours of household chores, or (b) children 12-14 years old who, during the reference week, did at least 14 hours of economic activity or at least 28 hours of household chores. We assumed 0% child labor for high-income countries for which no data was reported.","The best performing upper-middle-income countries have a child labor rate of 1% (UNICEF, 2015). We assumed 0% child labor for high-income OECD members for which no data was reported.",,
sdg16_weaponsexp,16,yes,yes,yes,,,"Exports of major conventional weapons (TIV constant million USD per 100,000 population)",,2020,0,1,2.5,3.4,Technical Optimum,https://sipri.org/databases/armstransfers,Stockholm Peace Research Institute ,"Volume of major conventional weapons exported, expressed in constant 1990 US$ millions (TIV) per 100,000 population. The trend-indicator value is based on the known unit production cost of a core set of weapons, and does not reflect the financial value of the exports. Small arms, light weapons, ammunition and other support material are not included. Values were calculated based on a 5-year rolling average",We assumed a value of 0 for countries with unreported export data and from which there are no major companies that produce weapons.,,
sdg16_rsf,16,yes,yes,,yes,yes,Press Freedom Index (best 0-100 worst),2015 -2021,2021,10,30,50,80,Average of best performers,https://rsf.org/en/ranking,Reporters sans frontières,"Degree of freedom available to journalists in 180 countries and regions, determined by pooling the responses of experts to a questionnaire devised by RSF.",,,
sdg16_justice,16,yes,yes,,yes,yes,Access to and affordability of justice (worst 0–1 best),2015 -2020,2020,0.75,0.65,0.5,0.1,Average of best performers,https://worldjusticeproject.org/our-work/wjp-rule-law-index,World Justice Project,"Measures the accessibility and affordability of civil courts, including whether people are aware of available remedies; can access and afford legal advice and representation; and can access the court system without incurring unreasonable fees, encountering unreasonable procedural hurdles, or experiencing physical or linguistic barriers.",,,
sdg16_prison,16,no,yes,,,yes,"Persons held in prison (per 100,000 population)",2015 -2019,2019,25,100,250,475,Average of best performers,https://dataunodc.un.org/data/Prison/Persons%20held%20in%20prison,UNODC ,"The prison population is composed of persons held in prisons, penal institutions, or correctional institutions.",,,
sdg17_govex,17,yes,yes,,yes,yes,Government spending on health and education (% of GDP),2015 -2020,2020,15,10,5,0,Average of best performers,https://data.worldbank.org/indicator/SH.XPD.GHED.GD.ZS
https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,UNESCO ,"The sum of public expenditure on health from domestic sources and general government expenditure on education (current, capital, and transfers) expressed as a percentage of GDP. This indicator is based on the World Bank health and education spending datasets, sourced from WHO & UNESCO respectively. Values are carried forward for both health and education, but a value in a given year is only reported if at least one data point is a real observation (not carried forward).",,,
sdg17_oda,17,yes,yes,yes,yes,yes,"For high-income and all OECD DAC countries: International concessional public finance, including official development assistance (% of GNI)",2015 -2021,2021,1,0.7,0.35,0.1,Average of best performers,https://data.oecd.org/oda/net-oda.htm,OECD ,"The amount of official development assistance (ODA) as a share of gross national income (GNI). It includes grants, ""soft"" loans (where the grant element is at least 25% of the total) and the provision of technical assistance, and excludes grants and loans for military purposes. There is  a break in the series because from 2018, the ODA grant-equivalent methodology is used whereby only the “grant portion” of the loan, i.e. the amount “given” by lending below market rates, counts as ODA. ",,,
sdg17_govrev,17,yes,yes,,yes,yes,Other countries: Government revenue excluding grants (% of GDP),2015 -2019,2019,40,30,16,10,Average of best performers,https://data.worldbank.org/indicator/GC.REV.XGRT.GD.ZS?view=chart,IMF ,"Government revenue measured as cash receipts from taxes, social contributions, and other revenues such as fines, fees, rent, and income from property or sales. Grants are also considered as revenue but are excluded here.","IMF data (taxes, social contributions, and other revenue, excluding grants) is imputed when countries are missing data in the World Bank database. The IMF data used is from the central government (incl. social security funds) sector. If that is not available, we use data for the budgetary central government sector",,
sdg17_cohaven,17,yes,yes,yes,,,Corporate Tax Haven Score (best 0-100 worst),,2019,40,60,70,100,Average of best performers,https://corporatetaxhavenindex.org/,Tax Justice Network,"The Corporate Tax Haven Score measures a jurisdiction’s potential to poach the tax base of others, as enshrined in its laws, regulations and documented administrative practices. For countries with multiple jurisdictions, the value of the worst-performing jurisdiction was retained.","A value of 0 was imputed to all countries not included in the index. Missing data was assigned to those countries not included in the index and indicated in the OECD Automatic Exchange of Information Implementation Report 2018 (Nauru, Qatar & Bahrain). According to the report, these countries have no system for direct taxation in place and do not have reciprocal information-exchanges.",,
sdg17_secrecy,17,no,yes,oecdyes,,,Financial Secrecy Score (best 0-100 worst),,2020,42.7,45,55,76.5,Average of best performers,https://fsi.taxjustice.net/en/introduction/fsi-results,Tax Justice Network,"The Index measures the contribution of each jurisdiction to financial secrecy, on a scale from 0 (best) to 100 (worst). It is calculated using qualitative data to prepare a secrecy score for each jurisdiction and quantitative data to create a global scale weighting for each jurisdiction according to its share of offshore financial services activity in the global total. For countries with multiple jurisdictions, the average score of the jurisdictions was used.",,,
sdg17_sprofits,17,no,yes,oecdyes,,yes,Shifted profits of multinationals (US$ billion),2015 -2018,2018,0,0,-30,-70,Technical Optimum,https://missingprofits.world/,Zucman et al. (2019),Estimation of how much profit is shifted into tax havens and how much non-haven countries lose in profits from such shifting. Based on macroeconomic data known as foreign affiliates statistics. Negative values indicate profit shifting.,,,
sdg17_statperf,17,yes,yes,no,yes,yes,Statistical Performance Index (worst 0-100 best),2016 -2019,2019,100,80,50,25,Technical Optimum,https://databank.worldbank.org/Statistical-Performance-Indicators-(SPI)/id/c6cc9909,World Bank ,"The Statistical Performance Index is a weighted average of the statistical performance indicators that evaluate the performance of national statistical systems. It aggregates five pillars of statistical performance: data use, data services, data products, data sources, and data infrastructure. ",,,
