Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,,15965060,15965060,15965060,15965060,15965060,15965060,15965060,15965060,15965060,15965060,15965060,15965060,15965030,15964990,15964960,15964960,15964950,15964950,15964950,15964950,15964950,15964940,15964940,15964940,15964940,15964940,15964940,15964940,15964940,15964940,15965820,15965820,15965820,15965820,15965870,15965860,15965860,15965860,15965860,15951420,15951450.2,15950910.2,15950429.7,15950310.5,15950249.8,15950360,15950410,15950200,15950190.5,15950150.7,15950180.9,15950040.9,15949971.3,15949971.3,15953666.8,16019614.9,16019325.2,16019326.9,16019326.9,16019326.9
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246103,33246063,33246043,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33246613,33246633,33145633,33138710,33138710,33138710,33138710,33110230,33110230,33110580,33110580,33110580,33110400,33237851.33,33237854.78,33238021.34,33238064.3,33237849.06,33238377.98,33238312.38,33238302.09,33238166.38,33238099.38,33236719.05,33251969.91,33317975.04,33317661,33317702.39,33317702.39,33317702.39
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,,24438720,24438720,24438720,24438720,24438720,24438720,24438720,24438720,24438720,24438720,24438720,24438620,24438590,24438550,24438410,24438410,24438290,24438290,24438290,24438190,24438290,24438070,24438070,24436570,24436470,24436570,24436470,24436470,24436470,24436470,24438270,24438270,24438270,24438270,24438380,24438270,24438270,24438270,24438270,24423830,24424146.2,24423662.2,24423203.7,24423107.5,24423076.8,24423222.6,24423314.2,24423179.2,24423240,24423342.4,24423364.8,24423346.8,24423394.6,24423400.6,24427111.2,24502823.4,24502555,24502428.8,24502428.8,24502428.8
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22638414,22638414,22638524,22638524,22634834,22630024,22627044,22626654,22627344,22629919,22636742,22629562,22628661,22627485,22627599,22627899,22627977,22624344,22623996,22623124,22623139,22623203,22623335,22623195,22623224,22622139,22637339,22637353,22637366,22626524.3,22626524.3,22626524.3
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,,27391514.03,27391494.03,27391504.03,27391504.03,27391494.03,27391484.03,27391474.03,27391464.03,27391464.03,27391454.03,27391444.03,27391444.03,27391444.03,27391414.03,27391294.03,27391214.03,27391194.03,27391194.03,27391164.03,27391084.03,27391064.03,27391054.03,27391014.03,27391025.03,27391025.03,27391025.03,27391035.03,27391025.03,27390035.03,27390035.03,27390145.03,27390185.03,27386475.03,27381655.03,27378665.03,27378334.03,27447673.03,27450147.03,27456929.03,27448989.03,27447557.03,27446860.03,27447383.03,27447432.03,27447358.03,27443074.03,27442783.03,27441352.23,27442170.83,27443589.23,27443457.03,27438149.73,27439425.19,27439564.63,27454239.96,27454601.39,27454570.07,27447886.69,27447886.69,27447886.69
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360
"Egypt, Arab Rep.",EGY,Land area (sq. km),AG.LND.TOTL.K2,,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,,2678692,2678692,2678692,2678692,2678692,2678692,2678692,2678692,2678692,2678692,2678692,2678692,2678692,2678662,2678542,2678482,2678452,2678442,2678452,2678382,2678372,2678372,2678342,2678352,2678352,2678352,2678352,2678352,2678352,2678352,2678352,2678352,2678342,2678332,2678322,2678312,2678272,2678242,2678202,2677623,2677093,2677573,2678033,2677653,2677513,2676883,2676941,2676402.2,2676305.8,2677670.2,2677456,2677738.7,2679126.2,2679055.6,2678458.2,2678840.6,2678829.05,2682452.479,2682452.479,2682452.479
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499780,499750,499630,499570,499540,499530,499540,499470,499460,499460,499430,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499440,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,499661,499564,499547.35,499603.479,499603.479,499603.479
Estonia,EST,Land area (sq. km),AG.LND.TOTL.K2,,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470,43470,43470,43470,43470,43470
Ethiopia,ETH,Land area (sq. km),AG.LND.TOTL.K2,,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1101000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1129264.328,1129317.777,1129314.344,1129287.296,1129272.056,1129270.983,1129253.379,1129208.088,1129209.376,1129212.38,1129225.045,1129272.914,1129304.039,1129279.999,1129300.39,1129300.39,1129300.39
European Union,EUU,Land area (sq. km),AG.LND.TOTL.K2,,4001882,4001862,4001872,4001872,4001862,4001852,4001842,4001832,4001832,4001822,4001812,4001812,4001812,4001782,4001662,4001582,4001562,4001562,4001532,4001452,4001432,4001422,4001382,4001392,4001392,4001392,4001402,4001392,4000402,4000402,4000512,4000552,4000532,4000572,4000542,4000632,4000542,4000502,4000472,3999823,3999293,3998103,3998563,3998353,3998063,3997403,3997351,3996802.2,3997715.8,3999060.2,3998916,3993598.7,3994976.2,3996265.6,3995658.2,3996050.6,3996029.05,3999622.479,3999622.479,3999622.479
Fragile and conflict affected situations,FCS,Land area (sq. km),AG.LND.TOTL.K2,,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19935138.27,19934738.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19934338.27,19935218.27,19935218.27,19834218.27,19834218.27,19834218.27,19834218.27,19834218.27,19834093.27,19833706.27,19833606.27,19833605.27,19833619.27,19833463.27,19962607.6,19962589.05,19962732.62,19962757.57,19962530.33,19959464.25,19959430.65,19959417.36,19959278.97,19959018.33,19958990.68,19959040.34,19958955.34,19958631.03,19947735.23,19947735.23,19947735.23
Finland,FIN,Land area (sq. km),AG.LND.TOTL.K2,,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910,303910,303920,303920,303920,303920
Fiji,FJI,Land area (sq. km),AG.LND.TOTL.K2,,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
France,FRA,Land area (sq. km),AG.LND.TOTL.K2,,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547566,547567,547567,547567,547867,547567,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557
Faroe Islands,FRO,Land area (sq. km),AG.LND.TOTL.K2,,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
"Micronesia, Fed. Sts.",FSM,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Gabon,GAB,Land area (sq. km),AG.LND.TOTL.K2,,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670
United Kingdom,GBR,Land area (sq. km),AG.LND.TOTL.K2,,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930
Georgia,GEO,Land area (sq. km),AG.LND.TOTL.K2,,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490
Ghana,GHA,Land area (sq. km),AG.LND.TOTL.K2,,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540
Gibraltar,GIB,Land area (sq. km),AG.LND.TOTL.K2,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Guinea,GIN,Land area (sq. km),AG.LND.TOTL.K2,,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720
"Gambia, The",GMB,Land area (sq. km),AG.LND.TOTL.K2,,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120
Guinea-Bissau,GNB,Land area (sq. km),AG.LND.TOTL.K2,,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120
Equatorial Guinea,GNQ,Land area (sq. km),AG.LND.TOTL.K2,,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Greece,GRC,Land area (sq. km),AG.LND.TOTL.K2,,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900
Grenada,GRD,Land area (sq. km),AG.LND.TOTL.K2,,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Greenland,GRL,Land area (sq. km),AG.LND.TOTL.K2,,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Guatemala,GTM,Land area (sq. km),AG.LND.TOTL.K2,,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160
Guam,GUM,Land area (sq. km),AG.LND.TOTL.K2,,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Guyana,GUY,Land area (sq. km),AG.LND.TOTL.K2,,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850
High income,HIC,Land area (sq. km),AG.LND.TOTL.K2,,34879308.43,34879288.43,34879298.43,34879298.43,34879288.43,34879278.43,34879268.43,34879258.43,34879258.43,34879248.43,34879238.43,34879138.43,34879138.43,34879108.43,34878878.43,34878798.43,34878668.43,34878668.43,34878638.43,34878368.43,34878448.43,34878228.43,34878188.43,34876699.43,34876599.43,34876699.43,34876609.43,34876599.43,34876599.43,34876599.43,34877519.43,34877579.43,34877559.43,34877549.43,34877599.43,34877558.43,34946207.43,34946106.43,34946065.43,34948265.43,34948020.43,34948555.43,34948996.43,34948778.43,34948666.43,34948051.03,34948159.63,34933185.83,34934059.73,34935558.33,34935286.93,34930244.63,34931608.49,34932719.93,34932217.36,34942329.89,34942307.87,34946338.29,34946338.29,34946338.29
"Hong Kong SAR, China",HKG,Land area (sq. km),AG.LND.TOTL.K2,,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1010,1010,1000,1000,1000,1000,1000,990,990,990,990,990,990,990,990,990,990,990,990,990,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
Honduras,HND,Land area (sq. km),AG.LND.TOTL.K2,,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890
Heavily indebted poor countries (HIPC),HPC,Land area (sq. km),AG.LND.TOTL.K2,,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960834.27,19960434.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19960174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19988438.6,19988492.05,19988488.62,19988461.57,19988446.33,19988445.25,19989137.65,19357368.95,19357375.27,19357381.58,19357365.46,19357415.12,19357335.24,19357309.95,19357325.11,19357325.11,19357325.11
Croatia,HRV,Land area (sq. km),AG.LND.TOTL.K2,,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55910,55980,55980,55910,55910,55910,55910,55910,55910,55960,55960,55960,55960,55960,55960,55960,55960,55960,55960,56590,56590,56590,56590,56590,56590,56590
Haiti,HTI,Land area (sq. km),AG.LND.TOTL.K2,,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560
Hungary,HUN,Land area (sq. km),AG.LND.TOTL.K2,,90040,90020,90030,90030,90020,90010,90000,89990,89990,89980,89970,89970,89970,89970,89970,89950,89960,89970,89920,89910,89900,89890,89880,89880,89880,89880,89880,89870,89870,89870,89870,89870,89860,89860,89860,89860,89800,89800,89800,89620,89620,89620,89620,89620,89610,89610,89610,89610,90530,90530,90530,90530,90530,91260,91260,91260,91260,91260,91260,91260
IBRD only,IBD,Land area (sq. km),AG.LND.TOTL.K2,,71064349,71064349,71064349,71064349,71064349,71064349,71064349,71064349,71064349,71064349,71064349,71064349,71064279,71064239,71064209,71064079,71064069,71064069,71064069,71063979,71063979,71063969,71063969,71063969,71063969,71063969,71063969,71063969,71062979,71062979,71063549,71063549,71059859,71055049,71052119,71051789,71052479,71026504,71033327,71011707,71010836.2,71009120.2,71008703.7,71009144.5,71009221.8,71005579,71005231,71004339,71001824.5,71001888.7,71001970.9,71001820.9,71001648.3,71002127.3,71005011.8,71070976.9,71070991.2,71071078.2,71071078.2,71071078.2
IDA & IBRD total,IBT,Land area (sq. km),AG.LND.TOTL.K2,,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030603.27,96030533.27,96030093.27,96029803.27,96029673.27,96029663.27,96029663.27,96029663.27,96029573.27,96029573.27,96029563.27,96029563.27,96029563.27,96029563.27,96029563.27,96029563.27,96029563.27,96028573.27,96028573.27,96030023.27,96030023.27,95925333.27,95913600.27,95910670.27,95910340.27,95911030.27,95885055.27,95891878.27,95870608.27,95869737.47,95868021.47,95867414.97,95995297.1,95995367.85,95991891.62,95991576.57,95990459.33,95987933.75,95988640.35,95988962.26,95988673.87,95988436.63,95987709.98,96005839.14,96071736.24,96071433.23,96060596.43,96060596.43,96060596.43
IDA total,IDA,Land area (sq. km),AG.LND.TOTL.K2,,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24966254.27,24965854.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24965594.27,24966474.27,24966474.27,24865474.27,24858551.27,24858551.27,24858551.27,24858551.27,24858551.27,24858551.27,24858901.27,24858901.27,24858901.27,24858711.27,24986152.6,24986146.05,24986312.62,24986345.57,24986120.33,24986109.25,24986751.65,24986991.36,24986852.97,24986788.33,24985582.68,25000827.34,25000759.34,25000442.03,24989518.23,24989518.23,24989518.23
IDA blend,IDB,Land area (sq. km),AG.LND.TOTL.K2,,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4384561,4384558,4384557,4384525,4384525,4384525
Indonesia,IDN,Land area (sq. km),AG.LND.TOTL.K2,,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1877519,1877519,1877519,1877519,1877519
IDA only,IDX,Land area (sq. km),AG.LND.TOTL.K2,,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596884.27,20596484.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20596224.27,20597104.27,20597104.27,20496104.27,20489181.27,20489181.27,20489181.27,20489181.27,20489181.27,20489181.27,20489531.27,20489531.27,20489531.27,20489341.27,20616782.6,20616776.05,20616942.62,20616975.57,20616750.33,20616739.25,20617381.65,20617621.36,20617482.97,20617418.33,20616212.68,20616266.34,20616201.34,20615885.03,20604993.23,20604993.23,20604993.23
Isle of Man,IMN,Land area (sq. km),AG.LND.TOTL.K2,,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
India,IND,Land area (sq. km),AG.LND.TOTL.K2,,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190
Not classified,INX,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Land area (sq. km),AG.LND.TOTL.K2,,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890
"Iran, Islamic Rep.",IRN,Land area (sq. km),AG.LND.TOTL.K2,,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760
Iraq,IRQ,Land area (sq. km),AG.LND.TOTL.K2,,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,437370,434320,434320,434320,434320,434128,434128,434128,434128,434128,434128,434128,434128
Iceland,ISL,Land area (sq. km),AG.LND.TOTL.K2,,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100830,100830,100830
Israel,ISR,Land area (sq. km),AG.LND.TOTL.K2,,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640
Italy,ITA,Land area (sq. km),AG.LND.TOTL.K2,,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294110,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,294140,297730,297730,297730
