Country,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Poland,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Poland,Act on the Protection of Personal Data 1997 (in English),http://www.giodo.gov.pl/144/id_art/171/j/en/,,
Portugal,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) (in Portuguese),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Portugal,Law 58/2019 of August 8th (in Portuguese),https://temp.dre.pt/pesquisa/-/search/123815982/details/maximized,,
Portugal,Law 41/2004 (In Portuguese),https://www.anacom.pt/render.jsp?contentId=976164,,
Portugal,Decree-Law  7/2004 (In Portuguese),https://dre.pt/dre/detalhe/decreto-lei/7-2004-240775,,
Portugal,"Lei No. 13,709/2018 Protecao de Dados Pessoais (in Portuguese)",http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/Lei/L13709.htm,,
Qatar,Law No. 13 of 2016 Concerning Privacy and Protection of Personal Data (in Arabic),https://www.ilo.org/dyn/natlex/natlex4.detail?p_lang=en&p_isn=105417&p_country=QAT&p_classification=01,,
Republic of Korea,"Personal Information Protection Act, 2020 (In Korean)",http://www.law.go.kr/LSW/eng/engLsSc.do?menuId=2&section=lawNm&query=personal+&x=0&y=0,,
Republic of Moldova,Law No. 133/2011 on personal data Protection (in Russian),http://ilo.ch/dyn/natlex/natlex4.detail?p_lang=en&p_isn=89948&p_count=100183&p_classification=01&p_classcount=13206,,
Romania,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Romania,GDPR implementation law (in Romanian),https://privacyon.ro/wp-content/uploads/2018/12/Romanian-GDPR-implementation-law-English-translation.pdf,,
Romania,Law No. 102/2005 on the organisation and the fonctioning of the National Supervisorz Authoritz for Personal Data Processing (in Romanian),https://www.dataprotection.ro/servlet/ViewDocument?id=172,,
Russian Federation,Bill - Regarding Personal Data ,http://wko.at/ooe/Branchen/Industrie/Zusendungen/FEDERAL_LAW.pdf,,
Russian Federation,"Federal law No. 152-FZ of 27 July 2006 ""On Personal Data"" (with the latest amendments of 2 July 2021) (in Russian)",http://pravo.gov.ru/proxy/ips/?docbody&nd=102108261 ,,
Rwanda,"Bill - Personal Data Protection, 2019 (in French, English, and Kinyarwanda)",https://www.dataguidance.com/sites/default/files/30802b_965abe73ea2e48899a28a4aefe2d3705.pdf,,
Saint Kitts and Nevis,Data Protection Act 2018 (in English),https://www.dataguidance.com/sites/default/files/data_protection_act_5_of_2018.pdf,,
Saint Lucia,Data Protection Act 2011 (in English),http://slugovprintery.com/template/files/document_for_sale/laws/3547/Act%202%20of%202015.pdf,,
Saint Vincent and the Grenadines,Bill - Data Protection Act - OECS models (in English),https://www.oecs.org/our-work/knowledge/library/egrip/data-protection-act,,
San Marino,Law regulating the Computerized Collection of Personal Data 1983,https://www.consigliograndeegenerale.sm/on-line/home/archivio-leggi-decreti-e-regolamenti/scheda17014317.html,,
Sao Tome and Principe,Data Protection Law 2016. Lei N° 3/2016 - Protecção de Dados Pessoais (in Portuguese),https://www2.camara.leg.br/saotomeeprincipe/diarios-da-an/x-legislatura/ii-serie/3.a-sessao-legislativa/DAN01-IIS.pdf/view,,
Saudi Arabia,Bill - Freedom of Information and Protection of Private data,,,
Senegal,LOI n° 2008-12 du 25 janvier 2008 portant sur la Protection des données à caractère personnel (in French),http://www.centif.sn/Loi_2008_12.pdf,,
Serbia,Data Protection Act (in English),Refworld | Serbia: 2018 Law on Personal Data Protection,,
Serbia,Law on Personnal Data Protection N°97/08 (in English),http://www.refworld.org/pdfid/4b5718f52.pdf,,
Seychelles, Bill - The Data Protection  No. 9 of 2003 (in English),http://greybook.seylii.org/se/2003-9,,
Singapore,Personal Data Protection Act No. 26 2012 (in English),https://sso.agc.gov.sg/Act/PDPA2012,,
Slovakia,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Slovakia,Act 18/2018 on the Protection of Personal Data (in English),https://dataprotection.gov.sk/uoou/sites/default/files/2019_10_03_act_18_2018_on_personal_data_protection_and_amending_and_supplementing_certain_acts.pdf#overlay-context=sk/content/182018#overlay-context=sk/content/182018%22,,
Slovakia,Act on the Protection of Personal Data 1992 (in English),https://dataprotection.gov.sk/uoou/en/content/national-legal-framework,,
Slovenia,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Slovenia,Personal Data Protection Act (ZVOP-1) (in Slovenian),http://pisrs.si/Pis.web/pregledPredpisa?id=ZAKO3906# ,,
South Africa,Protection of Personal Information Act 4 of 2013 (in English),http://www.justice.gov.za/inforeg/docs.html,,
Spain,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Spain,"Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales (in Spanish)",https://www.boe.es/eli/es/lo/2018/12/05/3/con,,
Suriname,"The Constitution of the Republic of Suriname, Article 17 (in English)",http://www.parliament.am/library/sahmanadrutyunner/surinam.pdf,,
Sweden,Data Protection Act (in Swedish),https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/lag-2018218-med-kompletterande-bestammelser_sfs-2018-218,,
Sweden,Personal Data Act 1998 (in English),http://www.qcert.org/sites/default/files/public/documents/swe-privacy-personal_data_act-eng-1998.pdf ,,
Switzerland,"Federal Act on Data Protection, 1992 (in English)",https://www.admin.ch/opc/en/classified-compilation/19920153/,,
Tajikistan,"8in Russia)Law of the Republic of Tajikistan No 1537 about Personal Data Protection, 2018 ",https://cis-legislation.com/document.fwx?rgn=108952,,
Thailand,"Personal Data Protection Act, B. E. 2562, 2019 (in Thai)",https://www.etda.or.th/app/webroot/content_files/13/files/The%20Personal%20Data%20Protection%20Act.pdf,,
North Macedonia,"Law on Personal Data Protection (in English, unofficial translation)",https://www.legislationline.org/download/id/1247/file/22fb16d752a9b7737b6fc8252ba5.pdf,,
Togo,Loi No. 14/2019 relativbe a la protection des donnees a caractere personnelle (In French),https://jo.gouv.tg/sites/default/files/JO/JOS_29_10_2019-64E%20ANNEE-N%C2%B026%20TER.pdf#page=1,,
Trinidad and Tobago,Data Protection Act 2011 (in English),http://www.ttparliament.org/legislations/a2011-13.pdf,,
Trinidad and Tobago,The Constitution of the Rpublic of Trinidad and Tobago (in English),http://www.oas.org/juridico/english/mesicic3_tto_constitution.pdf,,
Tunisia,Loi organique No. 63/2004 portant sur la protection des données à caractère personnelles (in Arabic),http://www.ins.tn/sites/default/files/Loi%2063-2004%20Fr.pdf,,
Tunisia,Organic Act No. 63/2004 on the protection of personal data (in Arabic),https://media2.mofo.com/documents/The+Organic+Act+2004-63.pdf,,
Turkey,"Law on the Protection of Personal Data No. 6698, 2016 (In Turkish)",http://www.resmigazete.gov.tr/eskiler/2016/04/20160407-8.pdf,,
Turkmenistan,Law on Information on Private Life and its Protection No. 519-V (in Russian),https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/107056/131641/F419973633/519.pdf,,
Uganda,The Data Protection and Privacy Act 2019 (in English),https://ict.go.ug/wp-content/uploads/2019/03/Data-Protection-and-Privacy-Act-2019.pdf,,
Ukraine,Law on Information Protection in Information and Telecommunication Systems (in Russian),https://zakon.rada.gov.ua/laws/show/80/94-%D0%B2%D1%80#Text,,
Ukraine,Law on State Secrets (in Russian),https://zakon.rada.gov.ua/laws/show/3855-12#Text,,
Ukraine,Law on Personal Data Protection (in Russian),https://zakon.rada.gov.ua/laws/show/2297-17#Text,,
Ukraine,On protection of Personal Data No. 2267-VI (in Russian),https://zakon.rada.gov.ua/laws/show/2657,,
United Arab Emirates,Currently on draft and under study for approval. Expected publish 2022.,,,
United Kingdom of Great Britain and Northern Ireland,Data Protection Act 1998 (in English)  ,http://www.legislation.gov.uk/ukpga/1998/29/contents,,
United Kingdom of Great Britain and Northern Ireland,Data Protection Act 2018 (in English),https://www.legislation.gov.uk/ukpga/2018/12/contents,,
United Republic of Tanzania,Data Protection Bill 2013 (in English),,,
United States of America,Privacy Act of 1974 (in English),http://www.justice.gov/opcl/file/631151/download,,
United States of America,Federal Trade Commission Act 15 (in English),https://www.ftc.gov/sites/default/files/documents/statutes/federal-trade-commission-act/ftc_act_incorporatingus_safe_web_act.pdf,,
Uruguay,La Ley 18.331 Protección de Datos Personales y Acción de Habeas Data del 11 agosto del año 2008 y el Decreto reglamentario 414/2009 (in Spanish),https://www.impo.com.uy/bases/leyes/18331-2008,,
Uzbekistan,"Law No. ZRU-547, On Personal Data, dated 2 July 2019 (in Russian)",https://cis-legislation.com/document.fwx?rgn=116961,,
Viet Nam,Law on information technology 2006 (in English),http://vbpl.vn/tw/Pages/vbpqen-toanvan.aspx?ItemID=4773,,
Viet Nam,Law on protection of consumers' rights 2010 (in English),,,
Yemen,Law of the Right of Access to Information 2012 (in English),http://www.right2info.org/resources/publications/laws-1/laws_yemen,,
Zambia,"Data Protection Act, 2021 (in English)",https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%203%20The%20Data%20Protection%20Act%202021_0.pdf,,
Zimbabwe,Data Protection Act (In English),https://www.veritaszim.net/sites/veritas_d/files/Data%20Protection%20Act%205%20of%202021.pdf,,
