Country Name,Pillar,Indicator,higher_is_better,data_status,data_col,Year,data_availability,new_rank_score,Source Name,Source URL,raw_data_col,rank
Burkina Faso,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,62.8,2024,,3.17,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Bangladesh,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,31.32,2024,,1.06,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Bulgaria,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,72.24,2024,,3.8,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Bahrain,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,19.81,2024,,0.29,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Bosnia and Herzegovina,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,67.4,2024,,3.48,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Belarus,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,18.8,2024,,0.22,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Belize,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,62.18,2024,,3.13,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Bolivia (Plurinational State of),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,57.59,2024,,2.82,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Brazil,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,66.88,2024,,3.44,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Brunei Darussalam,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,41.08,2024,,1.71,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Bhutan,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,29.62,2024,,0.94,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Botswana,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,57.28,2024,,2.8,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Central African Republic (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,64.42,2024,,3.28,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Canada,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,83.75,2024,,4.57,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Switzerland,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,78.85,2024,,4.25,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Chile,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,68.75,2024,,3.57,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
China,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,22.28,2024,,0.45,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Côte d'Ivoire,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,74.63,2024,,3.96,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Cameroon,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,52.71,2024,,2.5,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Democratic Republic of the Congo (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,51.54,2024,,2.41,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Congo (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,63.27,2024,,3.2,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Colombia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,72.71,2024,,3.83,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Comoros (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,62.02,2024,,3.12,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Cabo Verde,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,74.7,2024,,3.97,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Costa Rica,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,83.97,2024,,4.59,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Cuba,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,15.63,2024,,0.0,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Cyprus,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,67.9,2024,,3.51,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Czechia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,80.18,2024,,4.34,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Germany,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,84.69,2024,,4.64,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Djibouti,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,30.63,2024,,1.01,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Denmark,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,88.82,2024,,4.92,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Dominican Republic (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,86.92,2024,,4.79,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Algeria,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,45.43,2024,,2.0,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Ecuador,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,60.77,2024,,3.03,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Egypt,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,29.81,2024,,0.96,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Eritrea,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,16.92,2024,,0.09,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Spain,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,81.73,2024,,4.45,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Estonia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,83.65,2024,,4.57,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Ethiopia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,50.62,2024,,2.35,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Finland,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,86.16,2024,,4.74,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Fiji,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,69.04,2024,,3.59,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
France,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,78.18,2024,,4.2,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Gabon,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,70.19,2024,,3.67,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
United Kingdom of Great Britain and Northern Ireland (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,74.35,2024,,3.94,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Georgia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,67.31,2024,,3.47,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Ghana,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,74.79,2024,,3.97,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Guinea,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,69.05,2024,,3.59,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Gambia (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,60.71,2024,,3.03,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Guinea-Bissau,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,61.92,2024,,3.11,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Equatorial Guinea,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,40.96,2024,,1.7,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Greece,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,64.68,2024,,3.3,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Guatemala,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,57.24,2024,,2.8,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Guyana,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,60.46,2024,,3.01,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Honduras,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,49.17,2024,,2.26,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Croatia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,78.1,2024,,4.2,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Haiti,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,67.47,2024,,3.48,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Hungary,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,67.88,2024,,3.51,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Indonesia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,57.57,2024,,2.82,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
India,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,40.87,2024,,1.7,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Ireland,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,86.61,2024,,4.77,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Iran (Islamic Republic of),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,20.03,2024,,0.3,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Iraq,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,26.44,2024,,0.73,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Iceland,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,79.11,2024,,4.26,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Israel,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,49.04,2024,,2.25,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Italy,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,72.94,2024,,3.85,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Jamaica,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,72.6,2024,,3.83,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Jordan,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,36.06,2024,,1.38,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Japan,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,64.35,2024,,3.27,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Kazakhstan,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,37.91,2024,,1.5,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Kenya,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,59.4,2024,,2.94,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Kyrgyzstan,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,48.4,2024,,2.21,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Cambodia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,36.32,2024,,1.39,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Republic of Korea (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,69.51,2024,,3.62,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Kuwait,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,45.96,2024,,2.04,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Lao People's Democratic Republic (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,30.36,2024,,0.99,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Lebanon,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,45.6,2024,,2.02,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Liberia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,73.08,2024,,3.86,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Libya,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,44.23,2024,,1.92,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Liechtenstein,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,84.84,2024,,4.66,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Sri Lanka,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,42.19,2024,,1.79,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Lesotho,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,45.38,2024,,2.0,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Lithuania,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,81.41,2024,,4.42,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Luxembourg,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,77.56,2024,,4.16,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Latvia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,80.29,2024,,4.34,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Morocco,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,48.92,2024,,2.25,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Republic of Moldova (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,80.13,2024,,4.33,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Madagascar,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,56.73,2024,,2.76,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Maldives,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,54.42,2024,,2.61,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Mexico,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,67.99,2024,,3.52,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
North Macedonia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,83.17,2024,,4.54,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Mali,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,59.27,2024,,2.93,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Malta,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,60.1,2024,,2.99,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Myanmar,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,18.75,2024,,0.21,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Montenegro,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,78.15,2024,,4.2,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Mongolia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,56.31,2024,,2.73,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Mozambique,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,64.18,2024,,3.26,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Mauritania,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,79.06,2024,,4.26,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Mauritius,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,62.88,2024,,3.17,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Malawi,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,64.96,2024,,3.31,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Malaysia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,34.04,2024,,1.24,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Namibia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,77.08,2024,,4.13,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Niger (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,67.69,2024,,3.5,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Nigeria,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,61.65,2024,,3.09,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Nicaragua,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,30.34,2024,,0.99,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Netherlands (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,87.59,2024,,4.83,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Norway,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,89.5,2024,,4.96,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Nepal,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,71.41,2024,,3.75,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
New Zealand,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,71.15,2024,,3.73,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Oman,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,26.78,2024,,0.75,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Pakistan,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,42.97,2024,,1.84,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Panama,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,55.13,2024,,2.65,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Peru,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,58.1,2024,,2.85,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Philippines (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,47.48,2024,,2.14,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Papua New Guinea,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,51.54,2024,,2.41,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Poland,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,70.19,2024,,3.67,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Democratic People's Republic of Korea (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,26.82,2024,,0.76,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Portugal,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,83.79,2024,,4.58,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Paraguay,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,64.42,2024,,3.28,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Qatar,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,41.9,2024,,1.77,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Romania,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,70.54,2024,,3.69,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Russian Federation (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,31.43,2024,,1.06,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Rwanda,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,54.42,2024,,2.61,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Saudi Arabia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,20.43,2024,,0.33,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Sudan (the),"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,37.64,2024,,1.48,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Senegal,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,62.5,2024,,3.15,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Singapore,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,30.58,2024,,1.01,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Sierra Leone,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,69.23,2024,,3.6,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
El Salvador,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,50.3,2024,,2.33,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Somalia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,35.58,2024,,1.34,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
Serbia,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,70.32,2024,,3.67,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
South Sudan,"Freedom of Expression, Assembly and Association",Is there an effective legal framework protecting the freedom of the media and press?,YES,1,52.04,2024,,2.46,RSF World Press Freedom Index,https://rsf.org/sites/default/files/import_classement/2024.csv,,
